Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (InterPro)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Length
P06748	NPM_HUMAN	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	IPR032569;IPR004301;IPR024057;IPR036824;	cell aging [GO:0007569]; cellular response to UV [GO:0034644]; CENP-A containing nucleosome assembly [GO:0034080]; centrosome cycle [GO:0007098]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; DNA repair [GO:0006281]; intracellular protein transport [GO:0006886]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell proliferation [GO:0008285]; negative regulation of centrosome duplication [GO:0010826]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; nucleocytoplasmic transport [GO:0006913]; nucleosome assembly [GO:0006334]; positive regulation of cell cycle G2/M phase transition [GO:1902751]; positive regulation of cell proliferation [GO:0008284]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of translation [GO:0045727]; protein localization [GO:0008104]; protein oligomerization [GO:0051259]; regulation of centriole replication [GO:0046599]; regulation of eIF2 alpha phosphorylation by dsRNA [GO:0060735]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of endoribonuclease activity [GO:0060699]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to stress [GO:0006950]; ribosome assembly [GO:0042255]; signal transduction [GO:0007165]; viral process [GO:0016032]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]; protein-DNA complex [GO:0032993]; spindle pole centrosome [GO:0031616]	activating transcription factor binding [GO:0033613]; core promoter binding [GO:0001047]; histone binding [GO:0042393]; NF-kappaB binding [GO:0051059]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; ribosomal large subunit binding [GO:0043023]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA polymerase II transcription coactivator activity [GO:0001105]; Tat protein binding [GO:0030957]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; unfolded protein binding [GO:0051082]	294
P19338	NUCL_HUMAN	reviewed	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	IPR034230;IPR034233;IPR034234;IPR034235;IPR035979;IPR000504;IPR003954;	angiogenesis [GO:0001525]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to leukemia inhibitory factor [GO:1990830]; negative regulation of translation [GO:0017148]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter [GO:1901838]	cell cortex [GO:0005938]; cytoplasmic ribonucleoprotein granule [GO:0036464]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	DNA topoisomerase binding [GO:0044547]; identical protein binding [GO:0042802]; mRNA 5'-UTR binding [GO:0048027]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]	710
Q9UQ80	PA2G4_HUMAN	reviewed	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	PA2G4 EBP1	Homo sapiens (Human)	IPR036005;IPR004545;IPR000994;IPR018349;IPR036390;	cell cycle arrest [GO:0007050]; cell proliferation [GO:0008283]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription, DNA-templated [GO:0045892]; neutrophil degranulation [GO:0043312]; positive regulation of cell differentiation [GO:0045597]; regulation of translation [GO:0006417]; rRNA processing [GO:0006364]; transcription, DNA-templated [GO:0006351]	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]	DNA binding [GO:0003677]; DNA binding transcription factor activity [GO:0003700]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]	394
P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP1 PABPC2	Homo sapiens (Human)	IPR036053;IPR006515;IPR002004;IPR035979;IPR000504;IPR003954;	gene silencing by RNA [GO:0031047]; mRNA polyadenylation [GO:0006378]; mRNA splicing, via spliceosome [GO:0000398]; mRNA stabilization [GO:0048255]; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000623]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; positive regulation of viral genome replication [GO:0045070]; regulation of mRNA stability [GO:0043488]; translational initiation [GO:0006413]	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleus [GO:0005634]	mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]; translation activator activity [GO:0008494]	636
Q13310	PABP4_HUMAN	reviewed	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)	PABPC4 APP1 PABP4	Homo sapiens (Human)	IPR036053;IPR006515;IPR002004;IPR035979;IPR000504;IPR003954;	blood coagulation [GO:0007596]; myeloid cell development [GO:0061515]; regulation of mRNA stability [GO:0043488]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; intracellular ribonucleoprotein complex [GO:0030529]; nucleus [GO:0005634]	mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]	644
Q8NC51	PAIRB_HUMAN	reviewed	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	SERBP1 PAIRBP1 CGI-55	Homo sapiens (Human)	IPR006861;IPR032381;IPR027205;	regulation of apoptotic process [GO:0042981]; regulation of mRNA stability [GO:0043488]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]	408
Q15365	PCBP1_HUMAN	reviewed	Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3)	PCBP1	Homo sapiens (Human)	IPR004087;IPR004088;IPR036612;	mRNA splicing, via spliceosome [GO:0000398]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; RNA metabolic process [GO:0016070]; viral RNA genome replication [GO:0039694]	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]	cadherin binding [GO:0045296]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific single stranded DNA binding [GO:0098847]; single-stranded DNA binding [GO:0003697]	356
Q15366	PCBP2_HUMAN	reviewed	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	PCBP2	Homo sapiens (Human)	IPR004087;IPR004088;IPR036612;	defense response to virus [GO:0051607]; innate immune response [GO:0045087]; IRES-dependent viral translational initiation [GO:0075522]; mRNA metabolic process [GO:0016071]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of defense response to virus [GO:0050687]; negative regulation of type I interferon production [GO:0032480]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; RNA metabolic process [GO:0016070]; viral RNA genome replication [GO:0039694]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	DNA binding [GO:0003677]; enzyme binding [GO:0019899]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]	365
Q9Y520	PRC2C_HUMAN	reviewed	Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	PRRC2C BAT2D1 BAT2L2 KIAA1096 XTP2	Homo sapiens (Human)	IPR009738;IPR033184;	hematopoietic progenitor cell differentiation [GO:0002244]	membrane [GO:0016020]	protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]	2896
P26599	PTBP1_HUMAN	reviewed	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	PTBP1 PTB	Homo sapiens (Human)	IPR006536;IPR034798;IPR035000;IPR035001;IPR035979;IPR000504;	fibroblast growth factor receptor signaling pathway [GO:0008543]; IRES-dependent viral translational initiation [GO:0075522]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of muscle cell differentiation [GO:0051148]; negative regulation of RNA splicing [GO:0033119]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA metabolic process [GO:0016070]; RNA splicing [GO:0008380]	extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	poly-pyrimidine tract binding [GO:0008187]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]	531
Q14671	PUM1_HUMAN	reviewed	Pumilio homolog 1 (HsPUM) (Pumilio-1)	PUM1 KIAA0099 PUMH1	Homo sapiens (Human)	IPR011989;IPR016024;IPR033133;IPR033712;IPR001313;	adult locomotory behavior [GO:0008344]; mRNA destabilization [GO:0061157]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of RIG-I signaling pathway [GO:1900246]; posttranscriptional gene silencing [GO:0016441]; posttranscriptional regulation of gene expression [GO:0010608]; production of miRNAs involved in gene silencing by miRNA [GO:0035196]; regulation of cell cycle [GO:0051726]; regulation of chromosome segregation [GO:0051983]; regulation of gene silencing by miRNA [GO:0060964]; regulation of mRNA stability [GO:0043488]; spermatogenesis [GO:0007283]; stem cell differentiation [GO:0048863]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]	miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]	1186
Q9UKM9	RALY_HUMAN	reviewed	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	RALY HNRPCL2 P542	Homo sapiens (Human)	IPR017347;IPR034502;IPR035979;IPR000504;	mRNA splicing, via spliceosome [GO:0000398]; regulation of cholesterol homeostasis [GO:2000188]; regulation of nucleic acid-templated transcription [GO:1903506]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]	RNA binding [GO:0003723]; transcription cofactor activity [GO:0003712]	306
Q96PK6	RBM14_HUMAN	reviewed	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	RBM14 SIP	Homo sapiens (Human)	IPR035979;IPR034506;IPR034507;IPR000504;	activation of innate immune response [GO:0002218]; centriole assembly [GO:0098534]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; glucocorticoid receptor signaling pathway [GO:0042921]; histone deacetylation [GO:0016575]; innate immune response [GO:0045087]; intracellular estrogen receptor signaling pathway [GO:0030520]; negative regulation of centriole replication [GO:0046600]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; response to hormone [GO:0009725]; SMAD protein signal transduction [GO:0060395]; transcription, DNA-templated [GO:0006351]	cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; mediator complex [GO:0016592]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]	ligand-dependent nuclear receptor transcription coactivator activity [GO:0030374]; protein binding, bridging [GO:0030674]; RNA binding [GO:0003723]; RNA polymerase II transcription cofactor activity [GO:0001104]	669
Q9Y4C8	RBM19_HUMAN	reviewed	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	RBM19 KIAA0682	Homo sapiens (Human)	IPR035979;IPR034419;IPR034420;IPR034423;IPR034421;IPR034418;IPR034417;IPR000504;IPR003954;	multicellular organism development [GO:0007275]; positive regulation of embryonic development [GO:0040019]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	RNA binding [GO:0003723]	960
Q9NW13	RBM28_HUMAN	reviewed	RNA-binding protein 28 (RNA-binding motif protein 28)	RBM28	Homo sapiens (Human)	IPR035979;IPR000504;	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	nucleolus [GO:0005730]; spliceosomal complex [GO:0005681]	RNA binding [GO:0003723]	759
P42696	RBM34_HUMAN	reviewed	RNA-binding protein 34 (RNA-binding motif protein 34)	RBM34 KIAA0117	Homo sapiens (Human)	IPR035979;IPR034220;IPR034221;IPR000504;		nucleolus [GO:0005730]; nucleus [GO:0005634]	RNA binding [GO:0003723]	430
P38159	RBMX_HUMAN	reviewed	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	RBMX HNRPG RBMXP1	Homo sapiens (Human)	IPR035979;IPR012604;IPR000504;IPR003954;	cellular response to interleukin-1 [GO:0071347]; membrane protein ectodomain proteolysis [GO:0006509]; mRNA splice site selection [GO:0006376]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; osteoblast differentiation [GO:0001649]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein homooligomerization [GO:0051260]; protein oligomerization [GO:0051259]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA metabolic process [GO:0016070]; transcription from RNA polymerase II promoter [GO:0006366]	catalytic step 2 spliceosome [GO:0071013]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nuclear euchromatin [GO:0005719]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; supraspliceosomal complex [GO:0044530]	chromatin binding [GO:0003682]; core promoter binding [GO:0001047]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]	391
P26373	RL13_HUMAN	reviewed	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	RPL13 BBC1 OK/SW-cl.46	Homo sapiens (Human)	IPR001380;IPR018256;	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; membrane [GO:0016020]; nucleus [GO:0005634]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	211
P40429	RL13A_HUMAN	reviewed	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	RPL13A	Homo sapiens (Human)	IPR005822;IPR023563;IPR005755;IPR036899;	cellular response to interferon-gamma [GO:0071346]; negative regulation of formation of translation preinitiation complex [GO:1901194]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; GAIT complex [GO:0097452]; intracellular ribonucleoprotein complex [GO:0030529]; large ribosomal subunit [GO:0015934]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	203
Q02543	RL18A_HUMAN	reviewed	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	RPL18A	Homo sapiens (Human)	IPR028877;IPR023573;IPR021138;	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; response to antineoplastic agent [GO:0097327]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	176
O76021	RL1D1_HUMAN	reviewed	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)	IPR023674;IPR028364;IPR016095;	maturation of LSU-rRNA [GO:0000470]; osteoblast differentiation [GO:0001649]; regulation of apoptotic process [GO:0042981]; regulation of cellular senescence [GO:2000772]; regulation of protein localization [GO:0032880]	90S preribosome [GO:0030686]; membrane [GO:0016020]; nucleolus [GO:0005730]	cadherin binding [GO:0045296]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]	490
P35268	RL22_HUMAN	reviewed	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	RPL22	Homo sapiens (Human)	IPR002671;	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; nucleus [GO:0005634]	heparin binding [GO:0008201]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	128
Q6P5R6	RL22L_HUMAN	reviewed	60S ribosomal protein L22-like 1 (Large ribosomal subunit protein eL22-like 1)	RPL22L1	Homo sapiens (Human)	IPR002671;IPR028370;	cytoplasmic translation [GO:0002181]	cytosolic large ribosomal subunit [GO:0022625]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	122
P83731	RL24_HUMAN	reviewed	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	RPL24	Homo sapiens (Human)	IPR000988;IPR023442;IPR011017;	assembly of large subunit precursor of preribosome [GO:1902626]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; membrane [GO:0016020]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	157
P61254	RL26_HUMAN	reviewed	60S ribosomal protein L26 (Large ribosomal subunit protein uL24)	RPL26	Homo sapiens (Human)	IPR005824;IPR014722;IPR005825;IPR005756;IPR008991;	cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; cytoplasmic translation [GO:0002181]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:1902164]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902167]; positive regulation of translation [GO:0045727]; regulation of translation involved in cellular response to UV [GO:1904803]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]	mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	145
P39023	RL3_HUMAN	reviewed	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	RPL3 OK/SW-cl.32	Homo sapiens (Human)	IPR000597;IPR019926;IPR009000;	cellular response to interleukin-4 [GO:0071353]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein complex [GO:0043234]	5S rRNA binding [GO:0008097]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	403
P62899	RL31_HUMAN	reviewed	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	RPL31	Homo sapiens (Human)	IPR000054;IPR020052;IPR023621;	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	125
P49207	RL34_HUMAN	reviewed	60S ribosomal protein L34 (Large ribosomal subunit protein eL34)	RPL34	Homo sapiens (Human)	IPR008195;IPR018065;	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosome biogenesis [GO:0042254]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	117
P36578	RL4_HUMAN	reviewed	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	RPL4 RPL1	Homo sapiens (Human)	IPR025755;IPR002136;IPR013000;IPR023574;	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; rough endoplasmic reticulum [GO:0005791]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	427
P46777	RL5_HUMAN	reviewed	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	RPL5 MSTP030	Homo sapiens (Human)	IPR005485;IPR025607;	negative regulation of protein neddylation [GO:2000435]; negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:2000059]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of gene expression [GO:0010628]; positive regulation of translation [GO:0045727]; protein stabilization [GO:0050821]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]	5S rRNA binding [GO:0008097]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]; ubiquitin protein ligase binding [GO:0031625]	297
