Uniprot Entry	Rep1	Rep2
>sp|Q9HD26-2|GOPC_HUMAN Isoform 2 of Golgi-associated PDZ and coiled-coil motif-containing protein OS=Homo sapiens GN=GOPC	70.47	70.27
>sp|A5YKK6-2|CNOT1_HUMAN Isoform 2 of CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1	60.16	70.03
>sp|Q9UIC8|LCMT1_HUMAN Leucine carboxyl methyltransferase 1 OS=Homo sapiens GN=LCMT1 PE=1 SV=2	3.28	10.74
>sp|Q8NI36|WDR36_HUMAN WD repeat-containing protein 36 OS=Homo sapiens GN=WDR36 PE=1 SV=1	122.57	136.52
>sp|Q9NQ55-2|SSF1_HUMAN Isoform 2 of Suppressor of SWI4 1 homolog OS=Homo sapiens GN=PPAN	77.13	119.37
>sp|Q92621|NU205_HUMAN Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3	63.75	68.59
>sp|Q14118|DAG1_HUMAN Dystroglycan OS=Homo sapiens GN=DAG1 PE=1 SV=2	18.51	25.47
>sp|Q9GZU8|F192A_HUMAN Protein FAM192A OS=Homo sapiens GN=FAM192A PE=1 SV=1	24.82	69.41
>sp|Q92785|REQU_HUMAN Zinc finger protein ubi-d4 OS=Homo sapiens GN=DPF2 PE=1 SV=2	27.25	43.75
>sp|Q96T88|UHRF1_HUMAN E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens GN=UHRF1 PE=1 SV=1	3.64	13.00
>sp|Q9HD26|GOPC_HUMAN Golgi-associated PDZ and coiled-coil motif-containing protein OS=Homo sapiens GN=GOPC PE=1 SV=1	69.75	69.55
>sp|Q9NRW7|VPS45_HUMAN Vacuolar protein sorting-associated protein 45 OS=Homo sapiens GN=VPS45 PE=1 SV=1	83.89	54.46
>sp|Q8NB90|SPAT5_HUMAN Spermatogenesis-associated protein 5 OS=Homo sapiens GN=SPATA5 PE=1 SV=3	66.65	66.78
>sp|Q3YEC7|RABL6_HUMAN Rab-like protein 6 OS=Homo sapiens GN=RABL6 PE=1 SV=2	52.15	50.53
>sp|Q9GZS1-2|RPA49_HUMAN Isoform 2 of DNA-directed RNA polymerase I subunit RPA49 OS=Homo sapiens GN=POLR1E	41.29	93.59
>sp|Q92541|RTF1_HUMAN RNA polymerase-associated protein RTF1 homolog OS=Homo sapiens GN=RTF1 PE=1 SV=4	17.85	19.06
>sp|Q9Y3P9|RBGP1_HUMAN Rab GTPase-activating protein 1 OS=Homo sapiens GN=RABGAP1 PE=1 SV=3	8.79	16.64
>sp|Q8TF05-2|PP4R1_HUMAN Isoform 2 of Serine/threonine-protein phosphatase 4 regulatory subunit 1 OS=Homo sapiens GN=PPP4R1	66.41	58.38
>sp|Q71RC2|LARP4_HUMAN La-related protein 4 OS=Homo sapiens GN=LARP4 PE=1 SV=3	56.45	25.24
>sp|Q8TC07-2|TBC15_HUMAN Isoform 2 of TBC1 domain family member 15 OS=Homo sapiens GN=TBC1D15	60.73	56.24
>sp|Q9H1B7|I2BPL_HUMAN Interferon regulatory factor 2-binding protein-like OS=Homo sapiens GN=IRF2BPL PE=1 SV=1	27.22	22.20
>sp|P84022|SMAD3_HUMAN Mothers against decapentaplegic homolog 3 OS=Homo sapiens GN=SMAD3 PE=1 SV=1	81.53	25.51
>sp|O43264|ZW10_HUMAN Centromere/kinetochore protein zw10 homolog OS=Homo sapiens GN=ZW10 PE=1 SV=3	59.48	70.33
>sp|Q15397|K0020_HUMAN Pumilio domain-containing protein KIAA0020 OS=Homo sapiens GN=KIAA0020 PE=1 SV=3	92.74	78.97
>sp|Q9NX08|COMD8_HUMAN COMM domain-containing protein 8 OS=Homo sapiens GN=COMMD8 PE=1 SV=1	4.40	70.18
>sp|P51003|PAPOA_HUMAN Poly(A) polymerase alpha OS=Homo sapiens GN=PAPOLA PE=1 SV=4	37.33	53.79
>sp|Q9UBL3|ASH2L_HUMAN Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens GN=ASH2L PE=1 SV=1	75.50	18.85
>sp|Q7Z4Q2|HEAT3_HUMAN HEAT repeat-containing protein 3 OS=Homo sapiens GN=HEATR3 PE=1 SV=2	44.19	35.49
>sp|Q9UHR4|BI2L1_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2	34.27	34.94
>sp|Q9BW27|NUP85_HUMAN Nuclear pore complex protein Nup85 OS=Homo sapiens GN=NUP85 PE=1 SV=1	55.99	67.09
>sp|Q9HCE1|MOV10_HUMAN Putative helicase MOV-10 OS=Homo sapiens GN=MOV10 PE=1 SV=2	101.21	113.69
>sp|Q5T8P6-2|RBM26_HUMAN Isoform 2 of RNA-binding protein 26 OS=Homo sapiens GN=RBM26	60.67	68.06
>sp|Q9NV56|MRGBP_HUMAN MRG/MORF4L-binding protein OS=Homo sapiens GN=MRGBP PE=1 SV=1	35.70	25.51
>sp|Q7L2J0|MEPCE_HUMAN 7SK snRNA methylphosphate capping enzyme OS=Homo sapiens GN=MEPCE PE=1 SV=1	15.99	12.93
>sp|Q9Y2H0-3|DLGP4_HUMAN Isoform 3 of Disks large-associated protein 4 OS=Homo sapiens GN=DLGAP4	17.06	15.91
>sp|P49711|CTCF_HUMAN Transcriptional repressor CTCF OS=Homo sapiens GN=CTCF PE=1 SV=1	21.31	22.07
>sp|Q12996|CSTF3_HUMAN Cleavage stimulation factor subunit 3 OS=Homo sapiens GN=CSTF3 PE=1 SV=1	65.91	50.41
>sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens GN=ABCF3 PE=1 SV=2	49.87	29.87
>sp|Q7KZI7-8|MARK2_HUMAN Isoform 8 of Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2	32.24	60.22
>sp|Q7L2E3-2|DHX30_HUMAN Isoform 2 of Putative ATP-dependent RNA helicase DHX30 OS=Homo sapiens GN=DHX30	72.63	61.11
>sp|Q03701|CEBPZ_HUMAN CCAAT/enhancer-binding protein zeta OS=Homo sapiens GN=CEBPZ PE=1 SV=3	79.43	91.85
>sp|Q9UIG0|BAZ1B_HUMAN Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B PE=1 SV=2	31.70	39.05
>sp|Q9UL15|BAG5_HUMAN BAG family molecular chaperone regulator 5 OS=Homo sapiens GN=BAG5 PE=1 SV=1	21.73	31.99
>sp|Q969X6|CIR1A_HUMAN Cirhin OS=Homo sapiens GN=CIRH1A PE=1 SV=1	82.70	97.91
>sp|P24928|RPB1_HUMAN DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens GN=POLR2A PE=1 SV=2	33.96	28.38
>sp|Q5T8P6-3|RBM26_HUMAN Isoform 3 of RNA-binding protein 26 OS=Homo sapiens GN=RBM26	57.92	63.82
>sp|Q13033-2|STRN3_HUMAN Isoform Alpha of Striatin-3 OS=Homo sapiens GN=STRN3	54.65	35.25
>sp|P20020-6|AT2B1_HUMAN Isoform K of Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens GN=ATP2B1	62.72	59.59
>sp|Q9H6T3|RPAP3_HUMAN RNA polymerase II-associated protein 3 OS=Homo sapiens GN=RPAP3 PE=1 SV=2	25.02	38.56
>sp|Q9C0C9|UBE2O_HUMAN Ubiquitin-conjugating enzyme E2 O OS=Homo sapiens GN=UBE2O PE=1 SV=3	19.99	23.10
>sp|Q9H7D7-2|WDR26_HUMAN Isoform 2 of WD repeat-containing protein 26 OS=Homo sapiens GN=WDR26	59.77	71.28
>sp|Q6IN85|P4R3A_HUMAN Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens GN=SMEK1 PE=1 SV=1	30.12	28.51
>sp|Q7L2E3|DHX30_HUMAN Putative ATP-dependent RNA helicase DHX30 OS=Homo sapiens GN=DHX30 PE=1 SV=1	72.14	60.21
">sp|Q13084|RM28_HUMAN 39S ribosomal protein L28, mitochondrial OS=Homo sapiens GN=MRPL28 PE=1 SV=4"	80.59	91.71
>sp|Q96SU4-7|OSBL9_HUMAN Isoform 7 of Oxysterol-binding protein-related protein 9 OS=Homo sapiens GN=OSBPL9	45.63	38.47
>sp|Q9UK59|DBR1_HUMAN Lariat debranching enzyme OS=Homo sapiens GN=DBR1 PE=1 SV=2	41.00	56.01
>sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1	6.13	8.11
>sp|Q9P2I0|CPSF2_HUMAN Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens GN=CPSF2 PE=1 SV=2	30.70	53.02
>sp|Q13438|OS9_HUMAN Protein OS-9 OS=Homo sapiens GN=OS9 PE=1 SV=1	17.69	13.27
>sp|Q5T8P6|RBM26_HUMAN RNA-binding protein 26 OS=Homo sapiens GN=RBM26 PE=1 SV=3	55.77	62.84
>sp|O75150|BRE1B_HUMAN E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens GN=RNF40 PE=1 SV=4	10.12	16.10
>sp|O00566|MPP10_HUMAN U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens GN=MPHOSPH10 PE=1 SV=2	91.95	50.14
>sp|Q5VTR2|BRE1A_HUMAN E3 ubiquitin-protein ligase BRE1A OS=Homo sapiens GN=RNF20 PE=1 SV=2	10.16	22.45
>sp|Q9NUQ2|PLCE_HUMAN 1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Homo sapiens GN=AGPAT5 PE=1 SV=3	94.02	62.96
>sp|Q9H089|LSG1_HUMAN Large subunit GTPase 1 homolog OS=Homo sapiens GN=LSG1 PE=1 SV=2	22.76	19.13
>sp|Q9Y6D5|BIG2_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens GN=ARFGEF2 PE=1 SV=3	16.37	37.95
>sp|Q96ST2-2|IWS1_HUMAN Isoform 2 of Protein IWS1 homolog OS=Homo sapiens GN=IWS1	47.92	27.51
>sp|P31751|AKT2_HUMAN RAC-beta serine/threonine-protein kinase OS=Homo sapiens GN=AKT2 PE=1 SV=2	14.09	24.58
>sp|P50750|CDK9_HUMAN Cyclin-dependent kinase 9 OS=Homo sapiens GN=CDK9 PE=1 SV=3	38.54	58.37
>sp|Q14690|RRP5_HUMAN Protein RRP5 homolog OS=Homo sapiens GN=PDCD11 PE=1 SV=3	126.40	115.78
>sp|O75792|RNH2A_HUMAN Ribonuclease H2 subunit A OS=Homo sapiens GN=RNASEH2A PE=1 SV=2	23.54	16.70
>sp|Q9NWH9|SLTM_HUMAN SAFB-like transcription modulator OS=Homo sapiens GN=SLTM PE=1 SV=2	23.03	42.52
>sp|O75381-2|PEX14_HUMAN Isoform 2 of Peroxisomal membrane protein PEX14 OS=Homo sapiens GN=PEX14	34.48	62.69
">sp|P82675|RT05_HUMAN 28S ribosomal protein S5, mitochondrial OS=Homo sapiens GN=MRPS5 PE=1 SV=2"	123.97	152.40
>sp|Q15007|FL2D_HUMAN Pre-mRNA-splicing regulator WTAP OS=Homo sapiens GN=WTAP PE=1 SV=2	29.69	24.63
>sp|O14497|ARI1A_HUMAN AT-rich interactive domain-containing protein 1A OS=Homo sapiens GN=ARID1A PE=1 SV=3	21.73	13.57
>sp|Q10570|CPSF1_HUMAN Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens GN=CPSF1 PE=1 SV=2	58.05	30.23
>sp|P11717|MPRI_HUMAN Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3	31.46	39.57
>sp|Q9UKN8|TF3C4_HUMAN General transcription factor 3C polypeptide 4 OS=Homo sapiens GN=GTF3C4 PE=1 SV=2	9.95	7.90
>sp|P55081|MFAP1_HUMAN Microfibrillar-associated protein 1 OS=Homo sapiens GN=MFAP1 PE=1 SV=2	22.16	38.65
>sp|Q9UQ88|CD11A_HUMAN Cyclin-dependent kinase 11A OS=Homo sapiens GN=CDK11A PE=1 SV=4	25.95	14.71
>sp|O00178|GTPB1_HUMAN GTP-binding protein 1 OS=Homo sapiens GN=GTPBP1 PE=1 SV=3	60.92	41.37
>sp|Q9UJY5|GGA1_HUMAN ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens GN=GGA1 PE=1 SV=1	12.55	17.52
>sp|Q9UKV8|AGO2_HUMAN Protein argonaute-2 OS=Homo sapiens GN=EIF2C2 PE=1 SV=3	50.41	39.47
>sp|Q96T76|MMS19_HUMAN MMS19 nucleotide excision repair protein homolog OS=Homo sapiens GN=MMS19 PE=1 SV=2	263.25	119.87
>sp|O14936-3|CSKP_HUMAN Isoform 3 of Peripheral plasma membrane protein CASK OS=Homo sapiens GN=CASK	23.39	23.87
>sp|O00139-2|KIF2A_HUMAN Isoform 2 of Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A	49.97	49.80
>sp|O95453-2|PARN_HUMAN Isoform 2 of Poly(A)-specific ribonuclease PARN OS=Homo sapiens GN=PARN	48.96	60.40
>sp|P57076|CU059_HUMAN Uncharacterized protein C21orf59 OS=Homo sapiens GN=C21orf59 PE=1 SV=1	37.28	42.18
>sp|Q9H4A5|GLP3L_HUMAN Golgi phosphoprotein 3-like OS=Homo sapiens GN=GOLPH3L PE=1 SV=1	41.32	35.72
>sp|Q13427|PPIG_HUMAN Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens GN=PPIG PE=1 SV=2	117.01	22.73
>sp|Q641Q2|FA21A_HUMAN WASH complex subunit FAM21A OS=Homo sapiens GN=FAM21A PE=1 SV=3	37.37	39.06
>sp|Q13033|STRN3_HUMAN Striatin-3 OS=Homo sapiens GN=STRN3 PE=1 SV=3	47.24	29.91
>sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens GN=CHD3 PE=1 SV=3	83.83	28.62
">sp|P82914|RT15_HUMAN 28S ribosomal protein S15, mitochondrial OS=Homo sapiens GN=MRPS15 PE=1 SV=1"	133.39	78.80
>sp|Q9UNX4|WDR3_HUMAN WD repeat-containing protein 3 OS=Homo sapiens GN=WDR3 PE=1 SV=1	70.85	75.62
>sp|P25208|NFYB_HUMAN Nuclear transcription factor Y subunit beta OS=Homo sapiens GN=NFYB PE=1 SV=2	7.07	9.42
>sp|Q96JM3|CHAP1_HUMAN Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens GN=CHAMP1 PE=1 SV=2	15.28	21.62
>sp|O60231|DHX16_HUMAN Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens GN=DHX16 PE=1 SV=2	33.02	31.59
>sp|Q96A65|EXOC4_HUMAN Exocyst complex component 4 OS=Homo sapiens GN=EXOC4 PE=1 SV=1	77.54	51.43
>sp|Q9P270|SLAI2_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens GN=SLAIN2 PE=1 SV=2	33.67	16.27
>sp|Q8NAV1|PR38A_HUMAN Pre-mRNA-splicing factor 38A OS=Homo sapiens GN=PRPF38A PE=1 SV=1	27.23	40.73
>sp|Q12769|NU160_HUMAN Nuclear pore complex protein Nup160 OS=Homo sapiens GN=NUP160 PE=1 SV=3	69.19	83.61
>sp|Q5JRA6|MIA3_HUMAN Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1	50.78	37.55
>sp|Q92797|SYMPK_HUMAN Symplekin OS=Homo sapiens GN=SYMPK PE=1 SV=2	56.43	36.17
>sp|Q14671-2|PUM1_HUMAN Isoform 2 of Pumilio homolog 1 OS=Homo sapiens GN=PUM1	35.51	61.35
>sp|Q86W92-4|LIPB1_HUMAN Isoform 4 of Liprin-beta-1 OS=Homo sapiens GN=PPFIBP1	20.59	18.01
>sp|Q5VT52-3|RPRD2_HUMAN Isoform 3 of Regulation of nuclear pre-mRNA domain-containing protein 2 OS=Homo sapiens GN=RPRD2	38.97	45.35
>sp|O00139-1|KIF2A_HUMAN Isoform 1 of Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A	46.04	47.19
>sp|Q86TB9-4|PATL1_HUMAN Isoform 4 of Protein PAT1 homolog 1 OS=Homo sapiens GN=PATL1	17.30	21.84
>sp|O14936-4|CSKP_HUMAN Isoform 4 of Peripheral plasma membrane protein CASK OS=Homo sapiens GN=CASK	19.05	23.64
>sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens GN=DCAF13 PE=1 SV=2	82.58	78.34
>sp|Q9P2R3|ANFY1_HUMAN Ankyrin repeat and FYVE domain-containing protein 1 OS=Homo sapiens GN=ANKFY1 PE=1 SV=2	57.66	58.49
>sp|Q5SNT6|FA21B_HUMAN WASH complex subunit FAM21B OS=Homo sapiens GN=FAM21B PE=1 SV=2	33.05	36.89
>sp|Q08AM6|VAC14_HUMAN Protein VAC14 homolog OS=Homo sapiens GN=VAC14 PE=1 SV=1	10.72	24.21
>sp|Q06265|EXOS9_HUMAN Exosome complex component RRP45 OS=Homo sapiens GN=EXOSC9 PE=1 SV=3	63.55	32.32
>sp|Q8TED0|UTP15_HUMAN U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens GN=UTP15 PE=1 SV=3	86.19	82.65
">sp|O15020|SPTN2_HUMAN Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3"	27.31	38.53
>sp|Q86TB9|PATL1_HUMAN Protein PAT1 homolog 1 OS=Homo sapiens GN=PATL1 PE=1 SV=2	16.98	21.53
>sp|Q14692|BMS1_HUMAN Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens GN=BMS1 PE=1 SV=1	132.08	87.23
>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2	45.35	13.18
>sp|Q9H2U1|DHX36_HUMAN Probable ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=1 SV=2	21.31	14.25
>sp|Q5QJE6|TDIF2_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens GN=DNTTIP2 PE=1 SV=2	78.21	40.93
>sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens GN=AATF PE=1 SV=1	49.99	36.18
>sp|Q9HB90|RRAGC_HUMAN Ras-related GTP-binding protein C OS=Homo sapiens GN=RRAGC PE=1 SV=1	22.11	39.87
>sp|Q9Y6D6|BIG1_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Homo sapiens GN=ARFGEF1 PE=1 SV=2	17.78	18.51
>sp|Q8WXA9-2|SREK1_HUMAN Isoform 2 of Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens GN=SREK1	25.79	106.87
>sp|Q9UBV2|SE1L1_HUMAN Protein sel-1 homolog 1 OS=Homo sapiens GN=SEL1L PE=1 SV=3	34.85	44.28
>sp|Q7KZ85-2|SPT6H_HUMAN Isoform 2 of Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H	25.32	10.73
>sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens GN=PWP2 PE=1 SV=2	67.08	88.66
>sp|Q9UPT5-2|EXOC7_HUMAN Isoform 2 of Exocyst complex component 7 OS=Homo sapiens GN=EXOC7	21.13	32.70
>sp|Q5VT52|RPRD2_HUMAN Regulation of nuclear pre-mRNA domain-containing protein 2 OS=Homo sapiens GN=RPRD2 PE=1 SV=1	36.45	42.41
>sp|Q9Y4W2-2|LAS1L_HUMAN Isoform 2 of Ribosomal biogenesis protein LAS1L OS=Homo sapiens GN=LAS1L	65.07	96.83
>sp|Q15750|TAB1_HUMAN TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Homo sapiens GN=TAB1 PE=1 SV=1	20.33	85.95
>sp|Q7Z3K3-5|POGZ_HUMAN Isoform 5 of Pogo transposable element with ZNF domain OS=Homo sapiens GN=POGZ	24.13	28.17
>sp|O95163|ELP1_HUMAN Elongator complex protein 1 OS=Homo sapiens GN=IKBKAP PE=1 SV=3	140.56	118.41
>sp|Q4V328|GRAP1_HUMAN GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=1 SV=1	13.11	4.25
>sp|Q99836|MYD88_HUMAN Myeloid differentiation primary response protein MyD88 OS=Homo sapiens GN=MYD88 PE=1 SV=1	63.18	25.38
>sp|Q9H3S7|PTN23_HUMAN Tyrosine-protein phosphatase non-receptor type 23 OS=Homo sapiens GN=PTPN23 PE=1 SV=1	15.26	51.97
>sp|Q9NW82|WDR70_HUMAN WD repeat-containing protein 70 OS=Homo sapiens GN=WDR70 PE=1 SV=1	9.52	10.16
>sp|Q5T1M5|FKB15_HUMAN FK506-binding protein 15 OS=Homo sapiens GN=FKBP15 PE=1 SV=2	36.65	35.98
>sp|P56270|MAZ_HUMAN Myc-associated zinc finger protein OS=Homo sapiens GN=MAZ PE=1 SV=1	12.19	7.74
">sp|Q9ULD0|OGDHL_HUMAN 2-oxoglutarate dehydrogenase-like, mitochondrial OS=Homo sapiens GN=OGDHL PE=1 SV=3"	86.33	105.52
>sp|Q96KA5-2|CLP1L_HUMAN Isoform 2 of Cleft lip and palate transmembrane protein 1-like protein OS=Homo sapiens GN=CLPTM1L	45.64	30.59
>sp|Q96QC0|PP1RA_HUMAN Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Homo sapiens GN=PPP1R10 PE=1 SV=1	32.25	28.58
">sp|Q14CX7|NAA25_HUMAN N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Homo sapiens GN=NAA25 PE=1 SV=1"	49.11	49.57
>sp|Q9NWT1|PK1IP_HUMAN p21-activated protein kinase-interacting protein 1 OS=Homo sapiens GN=PAK1IP1 PE=1 SV=2	85.36	80.12
>sp|Q14789|GOGB1_HUMAN Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1 PE=1 SV=2	20.51	18.30
>sp|Q96J02-2|ITCH_HUMAN Isoform 2 of E3 ubiquitin-protein ligase Itchy homolog OS=Homo sapiens GN=ITCH	15.46	20.60
>sp|Q5JSH3|WDR44_HUMAN WD repeat-containing protein 44 OS=Homo sapiens GN=WDR44 PE=1 SV=1	14.80	30.40
>sp|Q9H6R4-4|NOL6_HUMAN Isoform 4 of Nucleolar protein 6 OS=Homo sapiens GN=NOL6	100.75	55.21
>sp|P19838|NFKB1_HUMAN Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens GN=NFKB1 PE=1 SV=2	114.72	110.99
>sp|Q8N3U4-2|STAG2_HUMAN Isoform 2 of Cohesin subunit SA-2 OS=Homo sapiens GN=STAG2	25.62	28.41
>sp|Q9UPT5-5|EXOC7_HUMAN Isoform 5 of Exocyst complex component 7 OS=Homo sapiens GN=EXOC7	20.16	31.20
>sp|O15213|WDR46_HUMAN WD repeat-containing protein 46 OS=Homo sapiens GN=WDR46 PE=1 SV=3	51.45	46.92
>sp|Q86W92-2|LIPB1_HUMAN Isoform 2 of Liprin-beta-1 OS=Homo sapiens GN=PPFIBP1	16.41	16.95
>sp|O75175|CNOT3_HUMAN CCR4-NOT transcription complex subunit 3 OS=Homo sapiens GN=CNOT3 PE=1 SV=1	31.24	12.48
>sp|O15397|IPO8_HUMAN Importin-8 OS=Homo sapiens GN=IPO8 PE=1 SV=2	29.31	52.92
>sp|Q9P2N5|RBM27_HUMAN RNA-binding protein 27 OS=Homo sapiens GN=RBM27 PE=1 SV=2	45.07	37.43
>sp|Q9UNI6|DUS12_HUMAN Dual specificity protein phosphatase 12 OS=Homo sapiens GN=DUSP12 PE=1 SV=1	62.41	45.57
>sp|Q7KZ85|SPT6H_HUMAN Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H PE=1 SV=2	16.30	13.25
>sp|Q8IU81|I2BP1_HUMAN Interferon regulatory factor 2-binding protein 1 OS=Homo sapiens GN=IRF2BP1 PE=1 SV=1	18.38	15.28
>sp|Q8WWQ0|PHIP_HUMAN PH-interacting protein OS=Homo sapiens GN=PHIP PE=1 SV=2	10.44	7.96
>sp|Q9NV70|EXOC1_HUMAN Exocyst complex component 1 OS=Homo sapiens GN=EXOC1 PE=1 SV=4	24.49	10.36
>sp|Q06546|GABPA_HUMAN GA-binding protein alpha chain OS=Homo sapiens GN=GABPA PE=1 SV=1	10.10	36.15
>sp|Q15291|RBBP5_HUMAN Retinoblastoma-binding protein 5 OS=Homo sapiens GN=RBBP5 PE=1 SV=2	40.56	25.84
>sp|Q658Y4|F91A1_HUMAN Protein FAM91A1 OS=Homo sapiens GN=FAM91A1 PE=1 SV=3	33.52	30.67
">sp|Q6N069|NAA16_HUMAN N-alpha-acetyltransferase 16, NatA auxiliary subunit OS=Homo sapiens GN=NAA16 PE=1 SV=2"	54.43	42.81
>sp|Q99666|RGPD5_HUMAN RANBP2-like and GRIP domain-containing protein 5/6 OS=Homo sapiens GN=RGPD5 PE=1 SV=3	25.33	48.34
>sp|Q9NRY5|F1142_HUMAN Protein FAM114A2 OS=Homo sapiens GN=FAM114A2 PE=1 SV=4	78.80	54.33
>sp|Q6P597|KLC3_HUMAN Kinesin light chain 3 OS=Homo sapiens GN=KLC3 PE=1 SV=2	39.24	29.13
>sp|P49750|YLPM1_HUMAN YLP motif-containing protein 1 OS=Homo sapiens GN=YLPM1 PE=1 SV=3	17.35	29.25
>sp|P49750-4|YLPM1_HUMAN Isoform 4 of YLP motif-containing protein 1 OS=Homo sapiens GN=YLPM1	17.44	30.12
>sp|Q08378|GOGA3_HUMAN Golgin subfamily A member 3 OS=Homo sapiens GN=GOLGA3 PE=1 SV=2	26.89	28.41
>sp|Q15059|BRD3_HUMAN Bromodomain-containing protein 3 OS=Homo sapiens GN=BRD3 PE=1 SV=1	11.58	16.15
>sp|Q86V48|LUZP1_HUMAN Leucine zipper protein 1 OS=Homo sapiens GN=LUZP1 PE=1 SV=2	14.97	16.59
>sp|Q9Y5S2|MRCKB_HUMAN Serine/threonine-protein kinase MRCK beta OS=Homo sapiens GN=CDC42BPB PE=1 SV=2	30.71	39.37
>sp|P49916|DNLI3_HUMAN DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 SV=2	37.53	18.42
>sp|Q9BVI4|NOC4L_HUMAN Nucleolar complex protein 4 homolog OS=Homo sapiens GN=NOC4L PE=1 SV=1	115.39	94.93
>sp|O60934|NBN_HUMAN Nibrin OS=Homo sapiens GN=NBN PE=1 SV=1	33.78	34.86
>sp|Q8IUD2|RB6I2_HUMAN ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1 PE=1 SV=1	34.30	44.34
>sp|Q13136|LIPA1_HUMAN Liprin-alpha-1 OS=Homo sapiens GN=PPFIA1 PE=1 SV=1	42.99	37.33
>sp|Q9Y5P4-2|C43BP_HUMAN Isoform 2 of Collagen type IV alpha-3-binding protein OS=Homo sapiens GN=COL4A3BP	14.08	19.69
>sp|Q86U44|MTA70_HUMAN N6-adenosine-methyltransferase 70 kDa subunit OS=Homo sapiens GN=METTL3 PE=1 SV=2	16.46	12.78
>sp|Q96D71-3|REPS1_HUMAN Isoform 3 of RalBP1-associated Eps domain-containing protein 1 OS=Homo sapiens GN=REPS1	34.46	24.55
>sp|Q9Y6D9|MD1L1_HUMAN Mitotic spindle assembly checkpoint protein MAD1 OS=Homo sapiens GN=MAD1L1 PE=1 SV=2	7.33	19.67
>sp|Q8NI27|THOC2_HUMAN THO complex subunit 2 OS=Homo sapiens GN=THOC2 PE=1 SV=2	26.92	137.69
>sp|Q96ST3|SIN3A_HUMAN Paired amphipathic helix protein Sin3a OS=Homo sapiens GN=SIN3A PE=1 SV=2	16.84	24.35
