Identified Proteins (540)	Accession Number	Alternate ID	Molecular Weight	Protein Grouping Ambiguity	Taxonomy	Uninduced 1	Uninduced 2	Uninduced 3	Induced 1	Induced 2
CAAX prenyl protease 1 homolog OS=Homo sapiens GN=ZMPSTE24 PE=1 SV=2	FACE1_HUMAN		55 kDa		unknown	4	6	6		3
Lanosterol 14-alpha demethylase OS=Homo sapiens GN=CYP51A1 PE=1 SV=3	CP51A_HUMAN		57 kDa		unknown	5	5		6	2
CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens GN=CDK5RAP3 PE=1 SV=2	CK5P3_HUMAN		57 kDa		unknown	7	8		2	2
Uncharacterized protein C7orf50 OS=Homo sapiens GN=C7orf50 PE=1 SV=1	CG050_HUMAN		22 kDa		unknown	1	2	2	7	5
40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4	RSSA_HUMAN		33 kDa	TRUE	unknown	3	3	3	6	2
Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1	NCBP1_HUMAN		92 kDa		unknown	2	7	4	1	1
Erlin-2 OS=Homo sapiens GN=ERLIN2 PE=1 SV=1	ERLN2_HUMAN		38 kDa		unknown	5	6	2	2	
Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1	LG3BP_HUMAN		65 kDa		unknown		1	1	7	7
Serine/threonine-protein kinase RIO1 OS=Homo sapiens GN=RIOK1 PE=1 SV=2	RIOK1_HUMAN		66 kDa	TRUE	unknown	3	6	8		
Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1	EIF3K_HUMAN		25 kDa	TRUE	unknown	6	5	2	2	2
"Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1"	ACTG_HUMAN		42 kDa	TRUE	unknown	3	2	1	6	2
26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1	PRS4_HUMAN		49 kDa	TRUE	unknown	8	2	2	3	3
Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2	RTN4_HUMAN		130 kDa		unknown	3	4	5	2	1
Immunoglobulin kappa variable 2D-26 OS=Homo sapiens GN=IGKV2D-26 PE=3 SV=1	KVD26_HUMAN (+1)		13 kDa		unknown	2	11		2	1
AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	AP2A1_HUMAN		108 kDa	TRUE	unknown	2			7	5
SRSF protein kinase 2 OS=Homo sapiens GN=SRPK2 PE=1 SV=3	SRPK2_HUMAN		78 kDa	TRUE	unknown	5	6			8
T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1	TCPE_HUMAN		60 kDa		unknown	7	6	2		
T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4	TCPB_HUMAN		57 kDa		unknown	8	2	2		
La-related protein 4 OS=Homo sapiens GN=LARP4 PE=1 SV=3	LARP4_HUMAN		81 kDa		unknown	1			9	7
Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens GN=EIF2B5 PE=1 SV=3	EI2BE_HUMAN		80 kDa		unknown	4	4	4	2	1
40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3	RS27_HUMAN		9 kDa	TRUE	unknown	4	4	5	3	
Serine/arginine-rich splicing factor 7 OS=Homo sapiens GN=SRSF7 PE=1 SV=1	SRSF7_HUMAN		27 kDa	TRUE	unknown	5	3	3		2
TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE=1 SV=1	TADBP_HUMAN		45 kDa		unknown	6	2	6		1
Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2	VAT1_HUMAN		42 kDa	TRUE	unknown	2	6	7		1
RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1	EWS_HUMAN		68 kDa		unknown	2	6	2	4	
E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens GN=HERC2 PE=1 SV=2	HERC2_HUMAN		527 kDa	TRUE	unknown	1		1	6	5
"RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3"	RBMX_HUMAN		42 kDa	TRUE	unknown		5	1	3	7
E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens GN=ZNF598 PE=1 SV=1	ZN598_HUMAN		99 kDa	TRUE	unknown				7	9
E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 PE=1 SV=1	UBR4_HUMAN		574 kDa	TRUE	unknown				1	10
NADPH--cytochrome P450 reductase OS=Homo sapiens GN=POR PE=1 SV=2	NCPR_HUMAN		77 kDa	TRUE	unknown	5	5	1	2	
Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens GN=AIMP2 PE=1 SV=2	AIMP2_HUMAN		35 kDa		unknown	0	1		3	3
A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1	AKAP8_HUMAN		76 kDa		unknown	5	4		2	2
26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3	PRS7_HUMAN		49 kDa		unknown	3		2	4	6
40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=1 SV=1	RS30_HUMAN		7 kDa		unknown	2		2	5	6
"Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4"	K1C13_HUMAN		50 kDa	TRUE	unknown	28	24	26		
Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2	HORN_HUMAN		282 kDa		unknown	2			5	5
26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3	PRS6A_HUMAN		49 kDa	TRUE	unknown		3		6	6
Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens GN=RAB3GAP2 PE=1 SV=1	RBGPR_HUMAN		156 kDa	TRUE	unknown	4	2	1	4	8
Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens GN=LRRFIP1 PE=1 SV=2	LRRF1_HUMAN		89 kDa	TRUE	unknown	4	3	3	1	1
Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1	TBB4B_HUMAN		50 kDa	TRUE	unknown	15	13	6	14	10
Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 PE=1 SV=2	NMT1_HUMAN		57 kDa	TRUE	unknown	5	1	4	1	2
Fanconi anemia group D2 protein OS=Homo sapiens GN=FANCD2 PE=1 SV=2	FACD2_HUMAN		164 kDa	TRUE	unknown	1	2	4	1	4
Transcriptional activator protein Pur-alpha OS=Homo sapiens GN=PURA PE=1 SV=2	PURA_HUMAN		35 kDa	TRUE	unknown	2	0	1	6	2
Helicase SKI2W OS=Homo sapiens GN=SKIV2L PE=1 SV=3	SKIV2_HUMAN		138 kDa	TRUE	unknown	1	6	1		3
Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens GN=ZC3H15 PE=1 SV=1	ZC3HF_HUMAN		49 kDa	TRUE	unknown	2	5		2	4
Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=1 SV=2	RAB5C_HUMAN		23 kDa	TRUE	unknown	3	3	2		4
Spermatogenesis-associated protein 5 OS=Homo sapiens GN=SPATA5 PE=1 SV=3	SPAT5_HUMAN		98 kDa	TRUE	unknown	2	0	4		4
Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3	FXR1_HUMAN		70 kDa	TRUE	unknown	8	7	5		
"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1"	NACAM_HUMAN		205 kDa	TRUE	unknown	5	6	1		
Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2	MYL6_HUMAN		17 kDa		unknown		1		7	5
U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2	PRP4_HUMAN		58 kDa	TRUE	unknown	1	1			12
RNA-binding protein 28 OS=Homo sapiens GN=RBM28 PE=1 SV=3	RBM28_HUMAN		86 kDa		unknown				5	7
Nicalin OS=Homo sapiens GN=NCLN PE=1 SV=2	NCLN_HUMAN		63 kDa		unknown	10		3		
A-kinase anchor protein 8-like OS=Homo sapiens GN=AKAP8L PE=1 SV=3	AKP8L_HUMAN		72 kDa		unknown	2	3	3	2	3
Replication factor C subunit 3 OS=Homo sapiens GN=RFC3 PE=1 SV=2	RFC3_HUMAN		41 kDa		unknown	2	2	1	1	6
60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2	RL18A_HUMAN		21 kDa		unknown	2	4	1	4	1
60S ribosomal protein L36a OS=Homo sapiens GN=RPL36A PE=1 SV=2	RL36A_HUMAN		12 kDa	TRUE	unknown	2	2	1	2	3
Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3	CND2_HUMAN		83 kDa		unknown		1	6	4	2
Prolactin regulatory element-binding protein OS=Homo sapiens GN=PREB PE=1 SV=2	PREB_HUMAN		45 kDa		unknown	2	4	2		4
Protein lunapark OS=Homo sapiens GN=LNP PE=1 SV=2	LNP_HUMAN		48 kDa	TRUE	unknown	4	5		2	2
DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3	TOP2A_HUMAN		174 kDa	TRUE	unknown			2	5	5
Eukaryotic initiation factor 4A-II OS=Homo sapiens GN=EIF4A2 PE=1 SV=2	IF4A2_HUMAN		46 kDa	TRUE	unknown	22	16	14		
40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2	RS17_HUMAN		16 kDa		unknown		1		8	4
Protein FAM98A OS=Homo sapiens GN=FAM98A PE=1 SV=1	FA98A_HUMAN		55 kDa		unknown	6	5	2		
Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1	LRC59_HUMAN		35 kDa	TRUE	unknown	0			9	3
"Dynein assembly factor 5, axonemal OS=Homo sapiens GN=DNAAF5 PE=1 SV=4"	DAAF5_HUMAN		94 kDa		unknown				8	2
CCR4-NOT transcription complex subunit 2 OS=Homo sapiens GN=CNOT2 PE=1 SV=1	CNOT2_HUMAN		60 kDa		unknown	2	2	5	1	2
RNA-binding protein Musashi homolog 2 OS=Homo sapiens GN=MSI2 PE=1 SV=1	MSI2H_HUMAN		35 kDa		unknown	2	2	3	2	2
Coiled-coil domain-containing protein 124 OS=Homo sapiens GN=CCDC124 PE=1 SV=1	CC124_HUMAN		26 kDa		unknown	3	2	1	2	2
Sodium/potassium-transporting ATPase subunit beta-3 OS=Homo sapiens GN=ATP1B3 PE=1 SV=1	AT1B3_HUMAN		32 kDa		unknown	2	3	0	2	3
ER membrane protein complex subunit 1 OS=Homo sapiens GN=EMC1 PE=1 SV=1	EMC1_HUMAN		112 kDa		unknown		2	2	2	3
Synaptic functional regulator FMR1 OS=Homo sapiens GN=FMR1 PE=1 SV=1	FMR1_HUMAN		71 kDa	TRUE	unknown	6	5	2		2
ATP-dependent RNA helicase DDX24 OS=Homo sapiens GN=DDX24 PE=1 SV=1	DDX24_HUMAN		96 kDa	TRUE	unknown	1	1		2	4
Tubulin gamma-1 chain OS=Homo sapiens GN=TUBG1 PE=1 SV=2	TBG1_HUMAN (+1)		51 kDa		unknown	6	5	1		
Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1	FILA2_HUMAN		248 kDa	TRUE	unknown	6	2	2		
THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3	THOC4_HUMAN		27 kDa	TRUE	unknown				5	5
Signal recognition particle subunit SRP68 OS=Homo sapiens GN=SRP68 PE=1 SV=2	SRP68_HUMAN		71 kDa		unknown	2	1	1	2	3
T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3	TCPZ_HUMAN		58 kDa	TRUE	unknown	4	2	3		
Coiled-coil domain-containing protein 47 OS=Homo sapiens GN=CCDC47 PE=1 SV=1	CCD47_HUMAN		56 kDa	TRUE	unknown	1	2			8
Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens GN=HNRNPUL2 PE=1 SV=1	HNRL2_HUMAN		85 kDa		unknown	6		0		4
Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3	ANR17_HUMAN		274 kDa	TRUE	unknown				4	3
Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2	ML12B_HUMAN		20 kDa		unknown				4	6
Guanine nucleotide-binding protein-like 3-like protein OS=Homo sapiens GN=GNL3L PE=1 SV=1	GNL3L_HUMAN		66 kDa	TRUE	unknown				3	8
T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4	TCPG_HUMAN		61 kDa		unknown	2	2	3	1	2
Chloride channel CLIC-like protein 1 OS=Homo sapiens GN=CLCC1 PE=1 SV=1	CLCC1_HUMAN		62 kDa		unknown	3	1		3	2
AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2	AP2A2_HUMAN		104 kDa	TRUE	unknown	1		1	5	4
Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4	SFXN1_HUMAN		36 kDa		unknown	3		3	2	2
Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens GN=LPCAT1 PE=1 SV=2	PCAT1_HUMAN		59 kDa		unknown	1	1	3		2
"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens GN=UQCRC2 PE=1 SV=3"	QCR2_HUMAN		48 kDa		unknown	2	3	0	2	
Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens GN=TMED4 PE=1 SV=1	TMED4_HUMAN		26 kDa	TRUE	unknown	1		0	1	2
Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL PE=1 SV=1	NVL_HUMAN		95 kDa	TRUE	unknown	3	2	4		
Kinesin-like protein KIF1C OS=Homo sapiens GN=KIF1C PE=1 SV=3	KIF1C_HUMAN		123 kDa	TRUE	unknown		2	3	0	0
Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4	SYVC_HUMAN		140 kDa		unknown	1	7		2	
40S ribosomal protein S15 OS=Homo sapiens GN=RPS15 PE=1 SV=2	RS15_HUMAN		17 kDa		unknown				4	5
D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4	SERA_HUMAN		57 kDa		unknown	7		2		
Gem-associated protein 2 OS=Homo sapiens GN=GEMIN2 PE=1 SV=1	GEMI2_HUMAN		32 kDa		unknown	2	2	3	1	1
BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1	BAG2_HUMAN		24 kDa	TRUE	unknown	1	1	1	3	3
Exosome complex component RRP45 OS=Homo sapiens GN=EXOSC9 PE=1 SV=3	EXOS9_HUMAN		49 kDa	TRUE	unknown	5	1	1		2
ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1 PE=1 SV=1	RB6I2_HUMAN		128 kDa	TRUE	unknown	4	1	1		3
Mannosyl-oligosaccharide glucosidase OS=Homo sapiens GN=MOGS PE=1 SV=5	MOGS_HUMAN		92 kDa	TRUE	unknown		1		2	6
Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5	EF1D_HUMAN		31 kDa		unknown	3	2	4		
Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens GN=EIF2B3 PE=1 SV=1	EI2BG_HUMAN		50 kDa		unknown		5		1	3
Importin-8 OS=Homo sapiens GN=IPO8 PE=1 SV=2	IPO8_HUMAN		120 kDa	TRUE	unknown				4	4
Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens GN=DDX27 PE=1 SV=2	DDX27_HUMAN		90 kDa	TRUE	unknown				4	4
Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens GN=DHX57 PE=1 SV=2	DHX57_HUMAN		156 kDa	TRUE	unknown				6	4
YTH domain-containing family protein 1 OS=Homo sapiens GN=YTHDF1 PE=1 SV=1	YTHD1_HUMAN		61 kDa	TRUE	unknown				10	13
Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens GN=STAU2 PE=1 SV=1	STAU2_HUMAN		63 kDa	TRUE	unknown	5	2			
Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens GN=PUF60 PE=1 SV=1	PUF60_HUMAN		60 kDa		unknown	6			2	
Pre-mRNA-splicing factor SYF1 OS=Homo sapiens GN=XAB2 PE=1 SV=2	SYF1_HUMAN		100 kDa	TRUE	unknown	1	3		2	2
"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6"	PFKAL_HUMAN		85 kDa	TRUE	unknown	5	6		9	9
DNA repair protein RAD50 OS=Homo sapiens GN=RAD50 PE=1 SV=1	RAD50_HUMAN		154 kDa	TRUE	unknown	3	0	1		2
Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2	APMAP_HUMAN		46 kDa		unknown	2	2			1
Monocarboxylate transporter 1 OS=Homo sapiens GN=SLC16A1 PE=1 SV=3	MOT1_HUMAN		54 kDa		unknown	1	5	2		
Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1	RAB2A_HUMAN		24 kDa		unknown		2		3	3
Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1	ROA0_HUMAN		31 kDa		unknown			2	2	5
Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=1 SV=3	DCTN1_HUMAN		142 kDa	TRUE	unknown			2	4	1
CCR4-NOT transcription complex subunit 10 OS=Homo sapiens GN=CNOT10 PE=1 SV=1	CNO10_HUMAN		82 kDa		unknown		1		2	3
ELAV-like protein 2 OS=Homo sapiens GN=ELAVL2 PE=1 SV=2	ELAV2_HUMAN		40 kDa	TRUE	unknown	1	2	4		
26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3	PSD11_HUMAN		47 kDa		unknown	4	0			3
Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens GN=SLC25A13 PE=1 SV=2	CMC2_HUMAN		74 kDa	TRUE	unknown				2	5
Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	DESP_HUMAN		332 kDa	TRUE	unknown			3		
Nicastrin OS=Homo sapiens GN=NCSTN PE=1 SV=2	NICA_HUMAN		78 kDa		unknown	1	0	3	1	1
CCR4-NOT transcription complex subunit 9 OS=Homo sapiens GN=CNOT9 PE=1 SV=1	CNOT9_HUMAN		34 kDa		unknown	2	3	1	0	
Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens GN=SART3 PE=1 SV=1	SART3_HUMAN		110 kDa		unknown	0	1		3	2
Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1	MCA3_HUMAN		20 kDa	TRUE	unknown			1	2	3
Splicing factor U2AF 35 kDa subunit-like protein OS=Homo sapiens GN=U2AF1L5 PE=1 SV=1	U2AF5_HUMAN		28 kDa	TRUE	unknown	1	3			0
YTH domain-containing family protein 3 OS=Homo sapiens GN=YTHDF3 PE=1 SV=1	YTHD3_HUMAN		64 kDa	TRUE	unknown			0	6	10
60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2	RL38_HUMAN		8 kDa		unknown				4	3
Enhancer of mRNA-decapping protein 4 OS=Homo sapiens GN=EDC4 PE=1 SV=1	EDC4_HUMAN		152 kDa	TRUE	unknown				2	5
Importin-4 OS=Homo sapiens GN=IPO4 PE=1 SV=2	IPO4_HUMAN		119 kDa		unknown				4	2
Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2	NPM_HUMAN		33 kDa		unknown				1	6
"Keratin, type II cytoskeletal 73 OS=Homo sapiens GN=KRT73 PE=1 SV=1"	K2C73_HUMAN		59 kDa	TRUE	unknown	11	8	9		
Scavenger receptor class B member 1 OS=Homo sapiens GN=SCARB1 PE=1 SV=1	SCRB1_HUMAN		61 kDa		unknown		2	3		1
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens GN=STT3B PE=1 SV=1	STT3B_HUMAN		94 kDa		unknown	2	2		2	
WD repeat-containing protein 11 OS=Homo sapiens GN=WDR11 PE=1 SV=1	WDR11_HUMAN		137 kDa		unknown	2	2	2		
Basigin OS=Homo sapiens GN=BSG PE=1 SV=2	BASI_HUMAN		42 kDa		unknown	2	2	1		
Bystin OS=Homo sapiens GN=BYSL PE=1 SV=3	BYST_HUMAN		50 kDa	TRUE	unknown	2		1		3
Regulator of nonsense transcripts 3B OS=Homo sapiens GN=UPF3B PE=1 SV=1	REN3B_HUMAN		58 kDa	TRUE	unknown	3			2	1
"Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=2"	MPCP_HUMAN		40 kDa		unknown	2	1		2	
Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens GN=PRPSAP2 PE=1 SV=1	KPRB_HUMAN		41 kDa	TRUE	unknown	3	0	1		
"HLA class I histocompatibility antigen, A-74 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1"	1A74_HUMAN		41 kDa	TRUE	unknown	3	2			
Protein LTV1 homolog OS=Homo sapiens GN=LTV1 PE=1 SV=1	LTV1_HUMAN		55 kDa		unknown				4	2
Inactive tyrosine-protein kinase 7 OS=Homo sapiens GN=PTK7 PE=1 SV=2	PTK7_HUMAN		118 kDa	TRUE	unknown	3	3			
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=1 SV=3"	ODP2_HUMAN		69 kDa		unknown				2	4
ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4	ADT3_HUMAN		33 kDa	TRUE	unknown				4	1
Very-long-chain 3-oxoacyl-CoA reductase OS=Homo sapiens GN=HSD17B12 PE=1 SV=2	DHB12_HUMAN		34 kDa		unknown				1	4
"Keratin, type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=1 SV=2"	K2C78_HUMAN		57 kDa	TRUE	unknown	10	8			
Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2	ROA3_HUMAN		40 kDa	TRUE	unknown		2			4
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1 PE=1 SV=3	GFPT1_HUMAN		79 kDa		unknown	1	5			
rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2	FBRL_HUMAN		34 kDa	TRUE	unknown				2	4
Kinetochore-associated protein 1 OS=Homo sapiens GN=KNTC1 PE=1 SV=1	KNTC1_HUMAN		251 kDa	TRUE	unknown		2		2	1
Nucleolysin TIAR OS=Homo sapiens GN=TIAL1 PE=1 SV=1	TIAR_HUMAN		42 kDa		unknown	4	1			
Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3	ASPH_HUMAN		86 kDa		unknown				2	3
Mitofusin-2 OS=Homo sapiens GN=MFN2 PE=1 SV=3	MFN2_HUMAN		86 kDa	TRUE	unknown	3	1			
Zinc finger CCHC domain-containing protein 8 OS=Homo sapiens GN=ZCCHC8 PE=1 SV=2	ZCHC8_HUMAN		79 kDa		unknown				4	1
RB1-inducible coiled-coil protein 1 OS=Homo sapiens GN=RB1CC1 PE=1 SV=3	RBCC1_HUMAN		183 kDa	TRUE	unknown	2	2			
Serine/threonine-protein kinase WNK2 OS=Homo sapiens GN=WNK2 PE=1 SV=4	WNK2_HUMAN		243 kDa	TRUE	unknown				5	6
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens GN=ANKRD28 PE=1 SV=5	ANR28_HUMAN		113 kDa	TRUE	unknown				3	
"Glycogen [starch] synthase, muscle OS=Homo sapiens GN=GYS1 PE=1 SV=2"	GYS1_HUMAN		84 kDa	TRUE	unknown					3
"Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4"	K2C4_HUMAN		57 kDa	TRUE	unknown	20				
Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=2	DDX46_HUMAN		117 kDa	TRUE	unknown	1	1		2	
Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2	ITB1_HUMAN		88 kDa	TRUE	unknown	1	2		1	
Exocyst complex component 4 OS=Homo sapiens GN=EXOC4 PE=1 SV=1	EXOC4_HUMAN		111 kDa	TRUE	unknown		1	2	0	
E3 ubiquitin-protein ligase listerin OS=Homo sapiens GN=LTN1 PE=1 SV=6	LTN1_HUMAN		201 kDa		unknown		0		2	1
Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1	HYEP_HUMAN		53 kDa	TRUE	unknown	3			1	
Cleft lip and palate transmembrane protein 1 OS=Homo sapiens GN=CLPTM1 PE=1 SV=1	CLPT1_HUMAN		76 kDa		unknown	1	3			
Protein CIP2A OS=Homo sapiens GN=KIAA1524 PE=1 SV=2	CIP2A_HUMAN		102 kDa		unknown				1	3
Sequestosome-1 OS=Homo sapiens GN=SQSTM1 PE=1 SV=1	SQSTM_HUMAN		48 kDa		unknown	2			2	
Serine/threonine-protein kinase MRCK alpha OS=Homo sapiens GN=CDC42BPA PE=1 SV=1	MRCKA_HUMAN		197 kDa		unknown		0	1	2	
Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3	RFC2_HUMAN		39 kDa		unknown	3	1			
Signal recognition particle subunit SRP72 OS=Homo sapiens GN=SRP72 PE=1 SV=3	SRP72_HUMAN		75 kDa		unknown			3	0	
SPATS2-like protein OS=Homo sapiens GN=SPATS2L PE=1 SV=2	SPS2L_HUMAN		62 kDa	TRUE	unknown					4
Retrotransposon-derived protein PEG10 OS=Homo sapiens GN=PEG10 PE=1 SV=2	PEG10_HUMAN		80 kDa		unknown	3				
Apoptosis regulator BAX OS=Homo sapiens GN=BAX PE=1 SV=1	BAX_HUMAN		21 kDa		unknown				4	
Condensin-2 complex subunit D3 OS=Homo sapiens GN=NCAPD3 PE=1 SV=2	CNDD3_HUMAN		169 kDa	TRUE	unknown				4	
Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 PE=1 SV=1	VDAC3_HUMAN		31 kDa		unknown				2	1
Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens GN=TMED2 PE=1 SV=1	TMED2_HUMAN		23 kDa		unknown		2	1		
Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens GN=CYFIP2 PE=1 SV=2	CYFP2_HUMAN		148 kDa	TRUE	unknown		1	2		
Desmoglein-1 OS=Homo sapiens GN=DSG1 PE=1 SV=2	DSG1_HUMAN		114 kDa		unknown			3		
Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1	NOP58_HUMAN		60 kDa		unknown					3
40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1	RS20_HUMAN		13 kDa		unknown				3	
Transformer-2 protein homolog beta OS=Homo sapiens GN=TRA2B PE=1 SV=1	TRA2B_HUMAN		34 kDa		unknown	2				
Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4	DCTN2_HUMAN		44 kDa		unknown					3
Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1	RAB7A_HUMAN		23 kDa	TRUE	unknown					3
