Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
P98175	reviewed	RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1) (S1-1)	Homo sapiens (Human)	930	RBM10	RBM10_HUMAN
Q9NTZ6	reviewed	RNA-binding protein 12 (RNA-binding motif protein 12) (SH3/WW domain anchor protein in the nucleus) (SWAN)	Homo sapiens (Human)	932	RBM12	RBM12_HUMAN
Q96PK6	reviewed	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	Homo sapiens (Human)	669	RBM14	RBM14_HUMAN
Q96T37	reviewed	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	Homo sapiens (Human)	977	RBM15	RBM15_HUMAN
Q9Y4C8	reviewed	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	Homo sapiens (Human)	960	RBM19	RBM19_HUMAN
P49756	reviewed	RNA-binding protein 25 (Arg/Glu/Asp-rich protein of 120 kDa) (RED120) (Protein S164) (RNA-binding motif protein 25) (RNA-binding region-containing protein 7)	Homo sapiens (Human)	843	RBM25	RBM25_HUMAN
Q9NW13	reviewed	RNA-binding protein 28 (RNA-binding motif protein 28)	Homo sapiens (Human)	759	RBM28	RBM28_HUMAN
P98179	reviewed	RNA-binding protein 3 (RNA-binding motif protein 3) (RNPL)	Homo sapiens (Human)	157	RBM3	RBM3_HUMAN
P42696	reviewed	RNA-binding protein 34 (RNA-binding motif protein 34)	Homo sapiens (Human)	430	RBM34	RBM34_HUMAN
Q14498	reviewed	RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	Homo sapiens (Human)	530	RBM39	RBM39_HUMAN
Q9BWF3	reviewed	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	Homo sapiens (Human)	364	RBM4	RBM4_HUMAN
P29558	reviewed	RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1) (Suppressor of CDC2 with RNA-binding motif 2)	Homo sapiens (Human)	406	RBMS1	RBMS1_HUMAN
Q15434	reviewed	RNA-binding motif, single-stranded-interacting protein 2 (Suppressor of CDC2 with RNA-binding motif 3)	Homo sapiens (Human)	407	RBMS2	RBMS2_HUMAN
P38159	reviewed	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	Homo sapiens (Human)	391	RBMX	RBMX_HUMAN
Q92804	reviewed	TATA-binding protein-associated factor 2N (68 kDa TATA-binding protein-associated factor) (TAF(II)68) (TAFII68) (RNA-binding protein 56)	Homo sapiens (Human)	592	TAF15	RBP56_HUMAN
Q92900	reviewed	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	Homo sapiens (Human)	1129	UPF1	RENT1_HUMAN
Q9NWB1	reviewed	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A) (Hexaribonucleotide-binding protein 1)	Homo sapiens (Human)	397	RBFOX1	RFOX1_HUMAN
Q9H0H5	reviewed	Rac GTPase-activating protein 1 (Male germ cell RacGap) (MgcRacGAP) (Protein CYK4 homolog) (CYK4) (HsCYK-4)	Homo sapiens (Human)	632	RACGAP1	RGAP1_HUMAN
P27635	reviewed	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	Homo sapiens (Human)	214	RPL10	RL10_HUMAN
P62913	reviewed	60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)	Homo sapiens (Human)	178	RPL11	RL11_HUMAN
P40429	reviewed	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	Homo sapiens (Human)	203	RPL13A	RL13A_HUMAN
P50914	reviewed	60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)	Homo sapiens (Human)	215	RPL14	RL14_HUMAN
Q07020	reviewed	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	Homo sapiens (Human)	188	RPL18	RL18_HUMAN
Q02543	reviewed	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	Homo sapiens (Human)	176	RPL18A	RL18A_HUMAN
P84098	reviewed	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	Homo sapiens (Human)	196	RPL19	RL19_HUMAN
O76021	reviewed	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	Homo sapiens (Human)	490	RSL1D1	RL1D1_HUMAN
P35268	reviewed	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	Homo sapiens (Human)	128	RPL22	RL22_HUMAN
Q6P5R6	reviewed	60S ribosomal protein L22-like 1 (Large ribosomal subunit protein eL22-like 1)	Homo sapiens (Human)	122	RPL22L1	RL22L_HUMAN
P62829	reviewed	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	Homo sapiens (Human)	140	RPL23	RL23_HUMAN
P62750	reviewed	60S ribosomal protein L23a (Large ribosomal subunit protein uL23)	Homo sapiens (Human)	156	RPL23A	RL23A_HUMAN
P83731	reviewed	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	Homo sapiens (Human)	157	RPL24	RL24_HUMAN
P61254	reviewed	60S ribosomal protein L26 (Large ribosomal subunit protein uL24)	Homo sapiens (Human)	145	RPL26	RL26_HUMAN
P61353	reviewed	60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	Homo sapiens (Human)	136	RPL27	RL27_HUMAN
P46776	reviewed	60S ribosomal protein L27a (Large ribosomal subunit protein uL15)	Homo sapiens (Human)	148	RPL27A	RL27A_HUMAN
P47914	reviewed	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	Homo sapiens (Human)	159	RPL29	RL29_HUMAN
P39023	reviewed	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	Homo sapiens (Human)	403	RPL3	RL3_HUMAN
P62899	reviewed	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	Homo sapiens (Human)	125	RPL31	RL31_HUMAN
P49207	reviewed	60S ribosomal protein L34 (Large ribosomal subunit protein eL34)	Homo sapiens (Human)	117	RPL34	RL34_HUMAN
P36578	reviewed	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	Homo sapiens (Human)	427	RPL4	RL4_HUMAN
P46777	reviewed	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	Homo sapiens (Human)	297	RPL5	RL5_HUMAN
Q02878	reviewed	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	Homo sapiens (Human)	288	RPL6	RL6_HUMAN
P18124	reviewed	60S ribosomal protein L7 (Large ribosomal subunit protein uL30)	Homo sapiens (Human)	248	RPL7	RL7_HUMAN
P62424	reviewed	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	Homo sapiens (Human)	266	RPL7A	RL7A_HUMAN
P62917	reviewed	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	Homo sapiens (Human)	257	RPL8	RL8_HUMAN
P05388	reviewed	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	Homo sapiens (Human)	317	RPLP0	RLA0_HUMAN
Q9BYD6	reviewed	39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1) (Mitochondrial large ribosomal subunit protein uL1m)	Homo sapiens (Human)	325	MRPL1	RM01_HUMAN
Q9BYD1	reviewed	39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13) (Mitochondrial large ribosomal subunit protein uL13m)	Homo sapiens (Human)	178	MRPL13	RM13_HUMAN
Q16540	reviewed	39S ribosomal protein L23, mitochondrial (L23mt) (MRP-L23) (L23 mitochondrial-related protein) (Mitochondrial large ribosomal subunit protein uL23m) (Ribosomal protein L23-like)	Homo sapiens (Human)	153	MRPL23	RM23_HUMAN
Q9BZE1	reviewed	39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37) (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein mL37)	Homo sapiens (Human)	423	MRPL37	RM37_HUMAN
Q8N983	reviewed	39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial large ribosomal subunit protein mL43) (Mitochondrial ribosomal protein bMRP36a)	Homo sapiens (Human)	215	MRPL43	RM43_HUMAN
Q96E39	reviewed	RNA binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1)	Homo sapiens (Human)	390	RBMXL1	RMXL1_HUMAN
O75526	reviewed	RNA-binding motif protein, X-linked-like-2 (Testis-specific heterogeneous nuclear ribonucleoprotein G-T) (hnRNP G-T)	Homo sapiens (Human)	392	RBMXL2	RMXL2_HUMAN
Q15287	reviewed	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	Homo sapiens (Human)	305	RNPS1	RNPS1_HUMAN
Q13151	reviewed	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)	Homo sapiens (Human)	305	HNRNPA0	ROA0_HUMAN
P09651	reviewed	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	Homo sapiens (Human)	372	HNRNPA1	ROA1_HUMAN
P22626	reviewed	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	Homo sapiens (Human)	353	HNRNPA2B1	ROA2_HUMAN
P51991	reviewed	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	Homo sapiens (Human)	378	HNRNPA3	ROA3_HUMAN
Q99729	reviewed	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1)	Homo sapiens (Human)	332	HNRNPAB	ROAA_HUMAN
Q9P2E9	reviewed	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)	Homo sapiens (Human)	1410	RRBP1	RRBP1_HUMAN
Q5JTH9	reviewed	RRP12-like protein	Homo sapiens (Human)	1297	RRP12	RRP12_HUMAN
Q14690	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	Homo sapiens (Human)	1871	PDCD11	RRP5_HUMAN
P46783	reviewed	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	Homo sapiens (Human)	165	RPS10	RS10_HUMAN
P62280	reviewed	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	Homo sapiens (Human)	158	RPS11	RS11_HUMAN
P62277	reviewed	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	Homo sapiens (Human)	151	RPS13	RS13_HUMAN
P62263	reviewed	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	Homo sapiens (Human)	151	RPS14	RS14_HUMAN
P62841	reviewed	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	Homo sapiens (Human)	145	RPS15	RS15_HUMAN
P62249	reviewed	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	Homo sapiens (Human)	146	RPS16	RS16_HUMAN
P08708	reviewed	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	Homo sapiens (Human)	135	RPS17	RS17_HUMAN
P62269	reviewed	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	Homo sapiens (Human)	152	RPS18	RS18_HUMAN
P39019	reviewed	40S ribosomal protein S19 (Small ribosomal subunit protein eS19)	Homo sapiens (Human)	145	RPS19	RS19_HUMAN
P15880	reviewed	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	Homo sapiens (Human)	293	RPS2	RS2_HUMAN
P60866	reviewed	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	Homo sapiens (Human)	119	RPS20	RS20_HUMAN
P62266	reviewed	40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	Homo sapiens (Human)	143	RPS23	RS23_HUMAN
P62847	reviewed	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	Homo sapiens (Human)	133	RPS24	RS24_HUMAN
P62851	reviewed	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	Homo sapiens (Human)	125	RPS25	RS25_HUMAN
P62854	reviewed	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	Homo sapiens (Human)	115	RPS26	RS26_HUMAN
P42677	reviewed	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	Homo sapiens (Human)	84	RPS27	RS27_HUMAN
P23396	reviewed	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	Homo sapiens (Human)	243	RPS3	RS3_HUMAN
P62861	reviewed	40S ribosomal protein S30 (Small ribosomal subunit protein eS30)	Homo sapiens (Human)	59	FAU	RS30_HUMAN
P61247	reviewed	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	Homo sapiens (Human)	264	RPS3A	RS3A_HUMAN
P62701	reviewed	40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)	Homo sapiens (Human)	263	RPS4X	RS4X_HUMAN
P62753	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	Homo sapiens (Human)	249	RPS6	RS6_HUMAN
P62081	reviewed	40S ribosomal protein S7 (Small ribosomal subunit protein eS7)	Homo sapiens (Human)	194	RPS7	RS7_HUMAN
P62241	reviewed	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	Homo sapiens (Human)	208	RPS8	RS8_HUMAN
P46781	reviewed	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	Homo sapiens (Human)	194	RPS9	RS9_HUMAN
P08865	reviewed	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	Homo sapiens (Human)	295	RPSA	RSSA_HUMAN
Q92541	reviewed	RNA polymerase-associated protein RTF1 homolog	Homo sapiens (Human)	710	RTF1	RTF1_HUMAN
P08621	reviewed	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	Homo sapiens (Human)	437	SNRNP70	RU17_HUMAN
P55011	reviewed	Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 1)	Homo sapiens (Human)	1212	SLC12A2	S12A2_HUMAN
Q15424	reviewed	Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)	Homo sapiens (Human)	915	SAFB	SAFB1_HUMAN
Q14151	reviewed	Scaffold attachment factor B2 (SAF-B2)	Homo sapiens (Human)	953	SAFB2	SAFB2_HUMAN
Q8WTV0	reviewed	Scavenger receptor class B member 1 (SRB1) (CD36 and LIMPII analogous 1) (CLA-1) (CD36 antigen-like 1) (Collagen type I receptor, thrombospondin receptor-like 1) (SR-BI) (CD antigen CD36)	Homo sapiens (Human)	552	SCARB1	SCRB1_HUMAN
Q14108	reviewed	Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36)	Homo sapiens (Human)	478	SCARB2	SCRB2_HUMAN
P31431	reviewed	Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein)	Homo sapiens (Human)	198	SDC4	SDC4_HUMAN
Q99442	reviewed	Translocation protein SEC62 (Translocation protein 1) (TP-1) (hTP-1)	Homo sapiens (Human)	399	SEC62	SEC62_HUMAN
Q01105	reviewed	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	Homo sapiens (Human)	290	SET	SET_HUMAN
Q15459	reviewed	Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114)	Homo sapiens (Human)	793	SF3A1	SF3A1_HUMAN
Q15428	reviewed	Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62)	Homo sapiens (Human)	464	SF3A2	SF3A2_HUMAN
O75533	reviewed	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	Homo sapiens (Human)	1304	SF3B1	SF3B1_HUMAN
Q15427	reviewed	Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49)	Homo sapiens (Human)	424	SF3B4	SF3B4_HUMAN
P23246	reviewed	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	Homo sapiens (Human)	707	SFPQ	SFPQ_HUMAN
Q9NWH9	reviewed	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	Homo sapiens (Human)	1034	SLTM	SLTM_HUMAN
Q7KZF4	reviewed	Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	Homo sapiens (Human)	910	SND1	SND1_HUMAN
P18583	reviewed	Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)	Homo sapiens (Human)	2426	SON	SON_HUMAN
Q9Y5B9	reviewed	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	Homo sapiens (Human)	1047	SUPT16H	SP16H_HUMAN
Q9NUQ6	reviewed	SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP)	Homo sapiens (Human)	558	SPATS2L	SPS2L_HUMAN
O15042	reviewed	U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)	Homo sapiens (Human)	1029	U2SURP	SR140_HUMAN
Q8WXA9	reviewed	Splicing regulatory glutamine/lysine-rich protein 1 (Serine/arginine-rich-splicing regulatory protein 86) (SRrp86) (Splicing factor, arginine/serine-rich 12) (Splicing regulatory protein 508) (SRrp508)	Homo sapiens (Human)	508	SREK1	SREK1_HUMAN
O76094	reviewed	Signal recognition particle subunit SRP72 (SRP72) (Signal recognition particle 72 kDa protein)	Homo sapiens (Human)	671	SRP72	SRP72_HUMAN
Q8IYB3	reviewed	Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein)	Homo sapiens (Human)	904	SRRM1	SRRM1_HUMAN
Q9UQ35	reviewed	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	Homo sapiens (Human)	2752	SRRM2	SRRM2_HUMAN
Q9BXP5	reviewed	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2)	Homo sapiens (Human)	876	SRRT	SRRT_HUMAN
O75494	reviewed	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	Homo sapiens (Human)	262	SRSF10	SRS10_HUMAN
Q05519	reviewed	Serine/arginine-rich splicing factor 11 (Arginine-rich 54 kDa nuclear protein) (p54) (Splicing factor, arginine/serine-rich 11)	Homo sapiens (Human)	484	SRSF11	SRS11_HUMAN
Q07955	reviewed	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	Homo sapiens (Human)	248	SRSF1	SRSF1_HUMAN
Q01130	reviewed	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	Homo sapiens (Human)	221	SRSF2	SRSF2_HUMAN
P84103	reviewed	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	Homo sapiens (Human)	164	SRSF3	SRSF3_HUMAN
Q08170	reviewed	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	Homo sapiens (Human)	494	SRSF4	SRSF4_HUMAN
Q13243	reviewed	Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)	Homo sapiens (Human)	272	SRSF5	SRSF5_HUMAN
Q13247	reviewed	Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)	Homo sapiens (Human)	344	SRSF6	SRSF6_HUMAN
Q16629	reviewed	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	Homo sapiens (Human)	238	SRSF7	SRSF7_HUMAN
Q13242	reviewed	Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)	Homo sapiens (Human)	221	SRSF9	SRSF9_HUMAN
Q08945	reviewed	FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)	Homo sapiens (Human)	709	SSRP1	SSRP1_HUMAN
O95793	reviewed	Double-stranded RNA-binding protein Staufen homolog 1	Homo sapiens (Human)	577	STAU1	STAU1_HUMAN
Q6EEV6	reviewed	Small ubiquitin-related modifier 4 (SUMO-4) (Small ubiquitin-like protein 4)	Homo sapiens (Human)	95	SUMO4	SUMO4_HUMAN
P41252	reviewed	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)	Homo sapiens (Human)	1262	IARS	SYIC_HUMAN
Q16563	reviewed	Synaptophysin-like protein 1 (Pantophysin)	Homo sapiens (Human)	259	SYPL1	SYPL1_HUMAN
P47897	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	Homo sapiens (Human)	775	QARS	SYQ_HUMAN
P26640	reviewed	Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS)	Homo sapiens (Human)	1264	VARS	SYVC_HUMAN
P54577	reviewed	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]	Homo sapiens (Human)	528	YARS	SYYC_HUMAN
Q13148	reviewed	TAR DNA-binding protein 43 (TDP-43)	Homo sapiens (Human)	414	TARDBP	TADBP_HUMAN
P37802	reviewed	Transgelin-2 (Epididymis tissue protein Li 7e) (SM22-alpha homolog)	Homo sapiens (Human)	199	TAGLN2	TAGL2_HUMAN
Q9BQE3	reviewed	Tubulin alpha-1C chain (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	Homo sapiens (Human)	449	TUBA1C	TBA1C_HUMAN
P0DPH7	reviewed	Tubulin alpha-3C chain (Alpha-tubulin 2) (Alpha-tubulin 3C) (Tubulin alpha-2 chain) [Cleaved into: Detyrosinated tubulin alpha-3C chain]	Homo sapiens (Human)	450	TUBA3C	TBA3C_HUMAN
P68371	reviewed	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	Homo sapiens (Human)	445	TUBB4B	TBB4B_HUMAN
P07437	reviewed	Tubulin beta chain (Tubulin beta-5 chain)	Homo sapiens (Human)	444	TUBB	TBB5_HUMAN
Q13428	reviewed	Treacle protein (Treacher Collins syndrome protein)	Homo sapiens (Human)	1488	TCOF1	TCOF_HUMAN
P53999	reviewed	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)	Homo sapiens (Human)	127	SUB1	TCP4_HUMAN
P78371	reviewed	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	Homo sapiens (Human)	535	CCT2	TCPB_HUMAN
P50990	reviewed	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	Homo sapiens (Human)	548	CCT8	TCPQ_HUMAN
P55072	reviewed	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Homo sapiens (Human)	806	VCP	TERA_HUMAN
P02786	reviewed	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]	Homo sapiens (Human)	760	TFRC	TFR1_HUMAN
O43493	reviewed	Trans-Golgi network integral membrane protein 2 (TGN38 homolog) (TGN46) (TGN48) (Trans-Golgi network protein TGN51)	Homo sapiens (Human)	479	TGOLN2	TGON2_HUMAN
Q9BXR0	reviewed	Queuine tRNA-ribosyltransferase catalytic subunit 1 (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	Homo sapiens (Human)	403	QTRT1	TGT_HUMAN
Q86V81	reviewed	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)	Homo sapiens (Human)	257	ALYREF	THOC4_HUMAN
