yourlist:M20180831A7434721E10EE6586998A056CCD0537EA81BDB8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
IMP3_HUMAN	Q9NV31	IMP3_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)	IMP3 C15orf12 MRPS4	Homo sapiens (Human)	184
IMDH2_HUMAN	P12268	IMDH2_HUMAN	reviewed	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II)	IMPDH2 IMPD2	Homo sapiens (Human)	514
IPO5_HUMAN	O00410	IPO5_HUMAN	reviewed	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	IPO5 KPNB3 RANBP5	Homo sapiens (Human)	1097
IPO7_HUMAN	O95373	IPO7_HUMAN	reviewed	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	IPO7 RANBP7	Homo sapiens (Human)	1038
IPO9_HUMAN	Q96P70	IPO9_HUMAN	reviewed	Importin-9 (Imp9) (Ran-binding protein 9) (RanBP9)	IPO9 IMP9 KIAA1192 RANBP9 HSPC273	Homo sapiens (Human)	1041
IQGA1_HUMAN	P46940	IQGA1_HUMAN	reviewed	Ras GTPase-activating-like protein IQGAP1 (p195)	IQGAP1 KIAA0051	Homo sapiens (Human)	1657
ITA3_HUMAN	P26006	ITA3_HUMAN	reviewed	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	ITGA3 MSK18	Homo sapiens (Human)	1051
ITAV_HUMAN	P06756	ITAV_HUMAN	reviewed	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	ITGAV MSK8 VNRA VTNR	Homo sapiens (Human)	1048
ITB1_HUMAN	P05556	ITB1_HUMAN	reviewed	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)	798
ITIH2_HUMAN	P19823	ITIH2_HUMAN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2) (Inter-alpha-trypsin inhibitor complex component II) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH2 IGHEP2	Homo sapiens (Human)	946
KHDR1_HUMAN	Q07666	KHDR1_HUMAN	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDRBS1 SAM68	Homo sapiens (Human)	443
FUBP2_HUMAN	Q92945	FUBP2_HUMAN	reviewed	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	KHSRP FUBP2	Homo sapiens (Human)	711
KIF11_HUMAN	P52732	KIF11_HUMAN	reviewed	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	KIF11 EG5 KNSL1 TRIP5	Homo sapiens (Human)	1056
KIF23_HUMAN	Q02241	KIF23_HUMAN	reviewed	Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1)	KIF23 KNSL5 MKLP1	Homo sapiens (Human)	960
KIF4B_HUMAN	Q2VIQ3	KIF4B_HUMAN	reviewed	Chromosome-associated kinesin KIF4B (Chromokinesin-B)	KIF4B	Homo sapiens (Human)	1234
KINH_HUMAN	P33176	KINH_HUMAN	reviewed	Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC)	KIF5B KNS KNS1	Homo sapiens (Human)	963
IMA5_HUMAN	P52294	IMA5_HUMAN	reviewed	Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]	KPNA1 RCH2	Homo sapiens (Human)	538
IMA1_HUMAN	P52292	IMA1_HUMAN	reviewed	Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha)	KPNA2 RCH1 SRP1	Homo sapiens (Human)	529
IMB1_HUMAN	Q14974	IMB1_HUMAN	reviewed	Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97)	KPNB1 NTF97	Homo sapiens (Human)	876
K2C1_HUMAN	P04264	K2C1_HUMAN	reviewed	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	Homo sapiens (Human)	644
K1C10_HUMAN	P13645	K1C10_HUMAN	reviewed	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)	KRT10 KPP	Homo sapiens (Human)	584
K1C13_HUMAN	P13646	K1C13_HUMAN	reviewed	Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)	KRT13	Homo sapiens (Human)	458
K1C14_HUMAN	P02533	K1C14_HUMAN	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	KRT14	Homo sapiens (Human)	472
K1C16_HUMAN	P08779	K1C16_HUMAN	reviewed	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	KRT16 KRT16A	Homo sapiens (Human)	473
K1C17_HUMAN	Q04695	K1C17_HUMAN	reviewed	Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	KRT17	Homo sapiens (Human)	432
K22E_HUMAN	P35908	K22E_HUMAN	reviewed	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	KRT2 KRT2A KRT2E	Homo sapiens (Human)	639
K2C3_HUMAN	P12035	K2C3_HUMAN	reviewed	Keratin, type II cytoskeletal 3 (65 kDa cytokeratin) (Cytokeratin-3) (CK-3) (Keratin-3) (K3) (Type-II keratin Kb3)	KRT3	Homo sapiens (Human)	628
K1H1_HUMAN	Q15323	K1H1_HUMAN	reviewed	Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)	KRT31 HHA1 HKA1 KRTHA1	Homo sapiens (Human)	416
KRT36_HUMAN	O76013	KRT36_HUMAN	reviewed	Keratin, type I cuticular Ha6 (Hair keratin, type I Ha6) (Keratin-36) (K36)	KRT36 HHA6 HKA6 KRTHA6	Homo sapiens (Human)	467
K2C5_HUMAN	P13647	K2C5_HUMAN	reviewed	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Homo sapiens (Human)	590
K2C6A_HUMAN	P02538	K2C6A_HUMAN	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	KRT6A K6A KRT6D	Homo sapiens (Human)	564
K2C6B_HUMAN	P04259	K2C6B_HUMAN	reviewed	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	KRT6B K6B KRTL1	Homo sapiens (Human)	564
K2C73_HUMAN	Q86Y46	K2C73_HUMAN	reviewed	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	KRT73 K6IRS3 KB36 KRT6IRS3	Homo sapiens (Human)	540
KRT84_HUMAN	Q9NSB2	KRT84_HUMAN	reviewed	Keratin, type II cuticular Hb4 (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)	KRT84 KRTHB4	Homo sapiens (Human)	600
KRT86_HUMAN	O43790	KRT86_HUMAN	reviewed	Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)	KRT86 KRTHB6	Homo sapiens (Human)	486
K1C9_HUMAN	P35527	K1C9_HUMAN	reviewed	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	KRT9	Homo sapiens (Human)	623
LAMP1_HUMAN	P11279	LAMP1_HUMAN	reviewed	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	LAMP1	Homo sapiens (Human)	417
LARP1_HUMAN	Q6PKG0	LARP1_HUMAN	reviewed	La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	Homo sapiens (Human)	1096
LARP4_HUMAN	Q71RC2	LARP4_HUMAN	reviewed	La-related protein 4 (La ribonucleoprotein domain family member 4)	LARP4 PP13296	Homo sapiens (Human)	724
LARP7_HUMAN	Q4G0J3	LARP7_HUMAN	reviewed	La-related protein 7 (La ribonucleoprotein domain family member 7) (P-TEFb-interaction protein for 7SK stability) (PIP7S)	LARP7 HDCMA18P	Homo sapiens (Human)	582
SYLC_HUMAN	Q9P2J5	SYLC_HUMAN	reviewed	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	LARS KIAA1352	Homo sapiens (Human)	1176
LASP1_HUMAN	Q14847	LASP1_HUMAN	reviewed	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)	LASP1 MLN50	Homo sapiens (Human)	261
LDHA_HUMAN	P00338	LDHA_HUMAN	reviewed	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	Homo sapiens (Human)	332
LDHB_HUMAN	P07195	LDHB_HUMAN	reviewed	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	LDHB	Homo sapiens (Human)	334
LEG1_HUMAN	P09382	LEG1_HUMAN	reviewed	Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	LGALS1	Homo sapiens (Human)	135
LMNA_HUMAN	P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664
LMNB1_HUMAN	P20700	LMNB1_HUMAN	reviewed	Lamin-B1	LMNB1 LMN2 LMNB	Homo sapiens (Human)	586
LPPRC_HUMAN	P42704	LPPRC_HUMAN	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	1394
LRC59_HUMAN	Q96AG4	LRC59_HUMAN	reviewed	Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34) (p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]	LRRC59 PRO1855	Homo sapiens (Human)	307
LC7L2_HUMAN	Q9Y383	LC7L2_HUMAN	reviewed	Putative RNA-binding protein Luc7-like 2	LUC7L2 CGI-59 CGI-74	Homo sapiens (Human)	392
LC7L3_HUMAN	O95232	LC7L3_HUMAN	reviewed	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein) (Luc7A) (Okadaic acid-inducible phosphoprotein OA48-18) (cAMP regulatory element-associated protein 1) (CRE-associated protein 1) (CREAP-1)	LUC7L3 CREAP1 CROP O48	Homo sapiens (Human)	432
MPRD_HUMAN	P20645	MPRD_HUMAN	reviewed	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)	M6PR MPR46 MPRD	Homo sapiens (Human)	277
MACF1_HUMAN	Q9UPN3	MACF1_HUMAN	reviewed	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA1251	Homo sapiens (Human)	7388
MAGA4_HUMAN	P43358	MAGA4_HUMAN	reviewed	Melanoma-associated antigen 4 (Cancer/testis antigen 1.4) (CT1.4) (MAGE-4 antigen) (MAGE-41 antigen) (MAGE-X2 antigen)	MAGEA4 MAGE4	Homo sapiens (Human)	317
MAGB2_HUMAN	O15479	MAGB2_HUMAN	reviewed	Melanoma-associated antigen B2 (Cancer/testis antigen 3.2) (CT3.2) (DSS-AHC critical interval MAGE superfamily 6) (DAM6) (MAGE XP-2 antigen) (MAGE-B2 antigen)	MAGEB2	Homo sapiens (Human)	319
MAP4_HUMAN	P27816	MAP4_HUMAN	reviewed	Microtubule-associated protein 4 (MAP-4)	MAP4	Homo sapiens (Human)	1152
SYMC_HUMAN	P56192	SYMC_HUMAN	reviewed	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MARS	Homo sapiens (Human)	900
MATR3_HUMAN	P43243	MATR3_HUMAN	reviewed	Matrin-3	MATR3 KIAA0723	Homo sapiens (Human)	847
MUC18_HUMAN	P43121	MUC18_HUMAN	reviewed	Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146)	MCAM MUC18	Homo sapiens (Human)	646
MCM2_HUMAN	P49736	MCM2_HUMAN	reviewed	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	MCM2 BM28 CCNL1 CDCL1 KIAA0030	Homo sapiens (Human)	904
MCM6_HUMAN	Q14566	MCM6_HUMAN	reviewed	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)	MCM6	Homo sapiens (Human)	821
KI67_HUMAN	P46013	KI67_HUMAN	reviewed	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	MKI67	Homo sapiens (Human)	3256
MOV10_HUMAN	Q9HCE1	MOV10_HUMAN	reviewed	Putative helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)	MOV10 KIAA1631	Homo sapiens (Human)	1003
RM01_HUMAN	Q9BYD6	RM01_HUMAN	reviewed	39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1) (Mitochondrial large ribosomal subunit protein uL1m)	MRPL1 BM-022	Homo sapiens (Human)	325
RM10_HUMAN	Q7Z7H8	RM10_HUMAN	reviewed	39S ribosomal protein L10, mitochondrial (L10mt) (MRP-L10) (39S ribosomal protein L8, mitochondrial) (L8mt) (MRP-L8) (Mitochondrial large ribosomal subunit protein uL10m)	MRPL10 MRPL8 RPML8	Homo sapiens (Human)	261
RM13_HUMAN	Q9BYD1	RM13_HUMAN	reviewed	39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13) (Mitochondrial large ribosomal subunit protein uL13m)	MRPL13	Homo sapiens (Human)	178
RM02_HUMAN	Q5T653	RM02_HUMAN	reviewed	39S ribosomal protein L2, mitochondrial (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein uL2m)	MRPL2 CGI-22	Homo sapiens (Human)	305
RM23_HUMAN	Q16540	RM23_HUMAN	reviewed	39S ribosomal protein L23, mitochondrial (L23mt) (MRP-L23) (L23 mitochondrial-related protein) (Mitochondrial large ribosomal subunit protein uL23m) (Ribosomal protein L23-like)	MRPL23 L23MRP RPL23L	Homo sapiens (Human)	153
RM27_HUMAN	Q9P0M9	RM27_HUMAN	reviewed	39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27) (Mitochondrial large ribosomal subunit protein bL27m)	MRPL27 HSPC250	Homo sapiens (Human)	148
RM03_HUMAN	P09001	RM03_HUMAN	reviewed	39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3) (Mitochondrial large ribosomal subunit protein uL3m)	MRPL3 MRL3 RPML3	Homo sapiens (Human)	348
RM37_HUMAN	Q9BZE1	RM37_HUMAN	reviewed	39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37) (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein mL37)	MRPL37 MRPL2 RPML2 HSPC235	Homo sapiens (Human)	423
RM43_HUMAN	Q8N983	RM43_HUMAN	reviewed	39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial large ribosomal subunit protein mL43) (Mitochondrial ribosomal protein bMRP36a)	MRPL43	Homo sapiens (Human)	215
RT18A_HUMAN	Q9NVS2	RT18A_HUMAN	reviewed	39S ribosomal protein S18a, mitochondrial (MRP-S18-a) (Mrps18a) (S18mt-a) (39S ribosomal protein S18-3, mitochondrial) (MRP-S18-3) (Mitochondrial large ribosomal subunit protein bS18a) (Mitochondrial large ribosomal subunit protein mL66)	MRPS18A	Homo sapiens (Human)	196
RT05_HUMAN	P82675	RT05_HUMAN	reviewed	28S ribosomal protein S5, mitochondrial (MRP-S5) (S5mt) (Mitochondrial small ribosomal subunit protein uS5m)	MRPS5	Homo sapiens (Human)	430
MSH6_HUMAN	P52701	MSH6_HUMAN	reviewed	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP	Homo sapiens (Human)	1360
COX2_HUMAN	P00403	COX2_HUMAN	reviewed	Cytochrome c oxidase subunit 2 (Cytochrome c oxidase polypeptide II)	MT-CO2 COII COX2 COXII MTCO2	Homo sapiens (Human)	227
C1TC_HUMAN	P11586	C1TC_HUMAN	reviewed	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	MTHFD1 MTHFC MTHFD	Homo sapiens (Human)	935
MYEF2_HUMAN	Q9P2K5	MYEF2_HUMAN	reviewed	Myelin expression factor 2 (MEF-2) (MyEF-2) (MST156)	MYEF2 KIAA1341	Homo sapiens (Human)	600
MYH10_HUMAN	P35580	MYH10_HUMAN	reviewed	Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)	MYH10	Homo sapiens (Human)	1976
MYH9_HUMAN	P35579	MYH9_HUMAN	reviewed	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	MYH9	Homo sapiens (Human)	1960
MYO1C_HUMAN	O00159	MYO1C_HUMAN	reviewed	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1063
NAA15_HUMAN	Q9BXJ9	NAA15_HUMAN	reviewed	N-alpha-acetyltransferase 15, NatA auxiliary subunit (Gastric cancer antigen Ga19) (N-terminal acetyltransferase) (NMDA receptor-regulated protein 1) (Protein tubedown-1) (Tbdn100)	NAA15 GA19 NARG1 NATH TBDN100	Homo sapiens (Human)	866
NAA40_HUMAN	Q86UY6	NAA40_HUMAN	reviewed	N-alpha-acetyltransferase 40 (EC 2.3.1.257) (N-acetyltransferase 11) (N-alpha-acetyltransferase D) (NatD) (hNatD) (Protein acetyltransferase 1)	NAA40 NAT11 PATT1	Homo sapiens (Human)	237
NACAM_HUMAN	E9PAV3	NACAM_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	NACA	Homo sapiens (Human)	2078
NAT10_HUMAN	Q9H0A0	NAT10_HUMAN	reviewed	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10)	NAT10 ALP KIAA1709	Homo sapiens (Human)	1025
CND1_HUMAN	Q15021	CND1_HUMAN	reviewed	Condensin complex subunit 1 (Chromosome condensation-related SMC-associated protein 1) (Chromosome-associated protein D2) (hCAP-D2) (Non-SMC condensin I complex subunit D2) (XCAP-D2 homolog)	NCAPD2 CAPD2 CNAP1 KIAA0159	Homo sapiens (Human)	1401
CND3_HUMAN	Q9BPX3	CND3_HUMAN	reviewed	Condensin complex subunit 3 (Chromosome-associated protein G) (Condensin subunit CAP-G) (hCAP-G) (Melanoma antigen NY-MEL-3) (Non-SMC condensin I complex subunit G) (XCAP-G homolog)	NCAPG CAPG NYMEL3	Homo sapiens (Human)	1015
NCKP1_HUMAN	Q9Y2A7	NCKP1_HUMAN	reviewed	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)	NCKAP1 HEM2 KIAA0587 NAP1	Homo sapiens (Human)	1128
NUCL_HUMAN	P19338	NUCL_HUMAN	reviewed	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	710
NICA_HUMAN	Q92542	NICA_HUMAN	reviewed	Nicastrin	NCSTN KIAA0253 UNQ1874/PRO4317	Homo sapiens (Human)	709
NEST_HUMAN	P48681	NEST_HUMAN	reviewed	Nestin	NES Nbla00170	Homo sapiens (Human)	1621
NFKB2_HUMAN	Q00653	NFKB2_HUMAN	reviewed	Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit]	NFKB2 LYT10	Homo sapiens (Human)	900
NHP2_HUMAN	Q9NX24	NHP2_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	Homo sapiens (Human)	153
MK67I_HUMAN	Q9BYG3	MK67I_HUMAN	reviewed	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)	NIFK MKI67IP NOPP34	Homo sapiens (Human)	293
NMT1_HUMAN	P30419	NMT1_HUMAN	reviewed	Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1)	NMT1 NMT	Homo sapiens (Human)	496
NOA1_HUMAN	Q8NC60	NOA1_HUMAN	reviewed	Nitric oxide-associated protein 1	NOA1 C4orf14	Homo sapiens (Human)	698
NOL6_HUMAN	Q9H6R4	NOL6_HUMAN	reviewed	Nucleolar protein 6 (Nucleolar RNA-associated protein) (Nrap)	NOL6	Homo sapiens (Human)	1146
NOLC1_HUMAN	Q14978	NOLC1_HUMAN	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	NOLC1 KIAA0035 NS5ATP13	Homo sapiens (Human)	699
NONO_HUMAN	Q15233	NONO_HUMAN	reviewed	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	NONO NRB54	Homo sapiens (Human)	471
NOP16_HUMAN	Q9Y3C1	NOP16_HUMAN	reviewed	Nucleolar protein 16 (HBV pre-S2 trans-regulated protein 3)	NOP16 CGI-117 HSPC111	Homo sapiens (Human)	178
NOP2_HUMAN	P46087	NOP2_HUMAN	reviewed	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)	NOP2 NOL1 NSUN1	Homo sapiens (Human)	812
NOP56_HUMAN	O00567	NOP56_HUMAN	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594
NOP58_HUMAN	Q9Y2X3	NOP58_HUMAN	reviewed	Nucleolar protein 58 (Nucleolar protein 5)	NOP58 NOL5 NOP5 HSPC120	Homo sapiens (Human)	529
NPM_HUMAN	P06748	NPM_HUMAN	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294
NSUN2_HUMAN	Q08J23	NSUN2_HUMAN	reviewed	tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (tRNA (cytosine-5-)-methyltransferase) (tRNA methyltransferase 4 homolog) (hTrm4)	NSUN2 SAKI TRM4	Homo sapiens (Human)	767
NSUN5_HUMAN	Q96P11	NSUN5_HUMAN	reviewed	Probable 28S rRNA (cytosine-C(5))-methyltransferase (EC 2.1.1.-) (NOL1-related protein) (NOL1R) (NOL1/NOP2/Sun domain family member 5) (Williams-Beuren syndrome chromosomal region 20A protein)	NSUN5 NSUN5A WBSCR20 WBSCR20A	Homo sapiens (Human)	429
NUMA1_HUMAN	Q14980	NUMA1_HUMAN	reviewed	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)	NUMA1 NMP22 NUMA	Homo sapiens (Human)	2115
NU160_HUMAN	Q12769	NU160_HUMAN	reviewed	Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Nucleoporin Nup160)	NUP160 KIAA0197 NUP120	Homo sapiens (Human)	1436
NUP93_HUMAN	Q8N1F7	NUP93_HUMAN	reviewed	Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (Nucleoporin Nup93)	NUP93 KIAA0095	Homo sapiens (Human)	819
PDIA1_HUMAN	P07237	PDIA1_HUMAN	reviewed	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	P4HB ERBA2L PDI PDIA1 PO4DB	Homo sapiens (Human)	508
