yourlist:M20180828A7434721E10EE6586998A056CCD0537EA67279F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
SP16H_HUMAN	Q9Y5B9	SP16H_HUMAN	reviewed	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	SUPT16H FACT140 FACTP140	Homo sapiens (Human)	1047
SRSF1_HUMAN	Q07955	SRSF1_HUMAN	reviewed	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3	Homo sapiens (Human)	248
WDR3_HUMAN	Q9UNX4	WDR3_HUMAN	reviewed	WD repeat-containing protein 3	WDR3	Homo sapiens (Human)	943
PTBP3_HUMAN	O95758	PTBP3_HUMAN	reviewed	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	PTBP3 ROD1	Homo sapiens (Human)	552
RS11_HUMAN	P62280	RS11_HUMAN	reviewed	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	Homo sapiens (Human)	158
RS24_HUMAN	P62847	RS24_HUMAN	reviewed	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	RPS24	Homo sapiens (Human)	133
ANXA2_HUMAN	P07355	ANXA2_HUMAN	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Homo sapiens (Human)	339
ATX2_HUMAN	Q99700	ATX2_HUMAN	reviewed	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)	ATXN2 ATX2 SCA2 TNRC13	Homo sapiens (Human)	1313
RL19_HUMAN	P84098	RL19_HUMAN	reviewed	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	RPL19	Homo sapiens (Human)	196
RL31_HUMAN	P62899	RL31_HUMAN	reviewed	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	RPL31	Homo sapiens (Human)	125
DAZP1_HUMAN	Q96EP5	DAZP1_HUMAN	reviewed	DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1)	DAZAP1	Homo sapiens (Human)	407
BYST_HUMAN	Q13895	BYST_HUMAN	reviewed	Bystin	BYSL	Homo sapiens (Human)	437
NUFP2_HUMAN	Q7Z417	NUFP2_HUMAN	reviewed	Nuclear fragile X mental retardation-interacting protein 2 (82 kDa FMRP-interacting protein) (82-FIP) (Cell proliferation-inducing gene 1 protein) (FMRP-interacting protein 2)	NUFIP2 KIAA1321 PIG1	Homo sapiens (Human)	695
RBM22_HUMAN	Q9NW64	RBM22_HUMAN	reviewed	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16)	RBM22 ZC3H16 199G4	Homo sapiens (Human)	420
UBP10_HUMAN	Q14694	UBP10_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10 KIAA0190	Homo sapiens (Human)	798
AQR_HUMAN	O60306	AQR_HUMAN	reviewed	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	AQR KIAA0560	Homo sapiens (Human)	1485
HNRL1_HUMAN	Q9BUJ2	HNRL1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5)	HNRNPUL1 E1BAP5 HNRPUL1	Homo sapiens (Human)	856
TOP2A_HUMAN	P11388	TOP2A_HUMAN	reviewed	DNA topoisomerase 2-alpha (EC 5.99.1.3) (DNA topoisomerase II, alpha isozyme)	TOP2A TOP2	Homo sapiens (Human)	1531
RBM27_HUMAN	Q9P2N5	RBM27_HUMAN	reviewed	RNA-binding protein 27 (RNA-binding motif protein 27)	RBM27 KIAA1311	Homo sapiens (Human)	1060
TRA2B_HUMAN	P62995	TRA2B_HUMAN	reviewed	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)	288
NOP9_HUMAN	Q86U38	NOP9_HUMAN	reviewed	Nucleolar protein 9	NOP9 C14orf21 KIAA2021	Homo sapiens (Human)	636
RRP1B_HUMAN	Q14684	RRP1B_HUMAN	reviewed	Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B)	RRP1B KIAA0179	Homo sapiens (Human)	758
SSF1_HUMAN	Q9NQ55	SSF1_HUMAN	reviewed	Suppressor of SWI4 1 homolog (Ssf-1) (Brix domain-containing protein 3) (Peter Pan homolog)	PPAN BXDC3 SSF1	Homo sapiens (Human)	473
HEAT1_HUMAN	Q9H583	HEAT1_HUMAN	reviewed	HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]	HEATR1 BAP28 UTP10	Homo sapiens (Human)	2144
RL13_HUMAN	P26373	RL13_HUMAN	reviewed	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	RPL13 BBC1 OK/SW-cl.46	Homo sapiens (Human)	211
G3P_HUMAN	P04406	G3P_HUMAN	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	335
ABCF1_HUMAN	Q8NE71	ABCF1_HUMAN	reviewed	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	ABCF1 ABC50	Homo sapiens (Human)	845
XRN2_HUMAN	Q9H0D6	XRN2_HUMAN	reviewed	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	XRN2	Homo sapiens (Human)	950
SAFB2_HUMAN	Q14151	SAFB2_HUMAN	reviewed	Scaffold attachment factor B2 (SAF-B2)	SAFB2 KIAA0138	Homo sapiens (Human)	953
CLU_HUMAN	O75153	CLU_HUMAN	reviewed	Clustered mitochondria protein homolog	CLUH KIAA0664	Homo sapiens (Human)	1309
NSUN2_HUMAN	Q08J23	NSUN2_HUMAN	reviewed	tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (tRNA (cytosine-5-)-methyltransferase) (tRNA methyltransferase 4 homolog) (hTrm4)	NSUN2 SAKI TRM4	Homo sapiens (Human)	767
SRSF3_HUMAN	P84103	SRSF3_HUMAN	reviewed	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	SRSF3 SFRS3 SRP20	Homo sapiens (Human)	164
RM37_HUMAN	Q9BZE1	RM37_HUMAN	reviewed	39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37) (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein mL37)	MRPL37 MRPL2 RPML2 HSPC235	Homo sapiens (Human)	423
DHX36_HUMAN	Q9H2U1	DHX36_HUMAN	reviewed	ATP-dependent RNA helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAH box protein 36) (G4-resolvase 1) (G4R1) (MLE-like protein 1) (RNA helicase associated with AU-rich element ARE)	DHX36 DDX36 KIAA1488 MLEL1 RHAU	Homo sapiens (Human)	1008
NOL11_HUMAN	Q9H8H0	NOL11_HUMAN	reviewed	Nucleolar protein 11	NOL11 L14	Homo sapiens (Human)	719
GNL3L_HUMAN	Q9NVN8	GNL3L_HUMAN	reviewed	Guanine nucleotide-binding protein-like 3-like protein	GNL3L	Homo sapiens (Human)	582
RBM10_HUMAN	P98175	RBM10_HUMAN	reviewed	RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1) (S1-1)	RBM10 DXS8237E GPATC9 GPATCH9 KIAA0122	Homo sapiens (Human)	930
ZFR_HUMAN	Q96KR1	ZFR_HUMAN	reviewed	Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)	ZFR	Homo sapiens (Human)	1074
DHX15_HUMAN	O43143	DHX15_HUMAN	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	DHX15 DBP1 DDX15	Homo sapiens (Human)	795
RRS1_HUMAN	Q15050	RRS1_HUMAN	reviewed	Ribosome biogenesis regulatory protein homolog	RRS1 KIAA0112 RRR	Homo sapiens (Human)	365
ZC11A_HUMAN	O75152	ZC11A_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810
RBM5_HUMAN	P52756	RBM5_HUMAN	reviewed	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	RBM5 H37 LUCA15	Homo sapiens (Human)	815
RRP1_HUMAN	P56182	RRP1_HUMAN	reviewed	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)	RRP1 D21S2056E NNP1 NOP52 RRP1A	Homo sapiens (Human)	461
RBMS1_HUMAN	P29558	RBMS1_HUMAN	reviewed	RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1) (Suppressor of CDC2 with RNA-binding motif 2)	RBMS1 C2orf12 MSSP MSSP1 SCR2	Homo sapiens (Human)	406
CSTFT_HUMAN	Q9H0L4	CSTFT_HUMAN	reviewed	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)	CSTF2T KIAA0689	Homo sapiens (Human)	616
ANR17_HUMAN	O75179	ANR17_HUMAN	reviewed	Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)	ANKRD17 GTAR KIAA0697	Homo sapiens (Human)	2603
NSUN5_HUMAN	Q96P11	NSUN5_HUMAN	reviewed	Probable 28S rRNA (cytosine-C(5))-methyltransferase (EC 2.1.1.-) (NOL1-related protein) (NOL1R) (NOL1/NOP2/Sun domain family member 5) (Williams-Beuren syndrome chromosomal region 20A protein)	NSUN5 NSUN5A WBSCR20 WBSCR20A	Homo sapiens (Human)	429
MK67I_HUMAN	Q9BYG3	MK67I_HUMAN	reviewed	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)	NIFK MKI67IP NOPP34	Homo sapiens (Human)	293
HELZ_HUMAN	P42694	HELZ_HUMAN	reviewed	Probable helicase with zinc finger domain (EC 3.6.4.-) (Down-regulated in human cancers protein)	HELZ DRHC KIAA0054	Homo sapiens (Human)	1942
RL27_HUMAN	P61353	RL27_HUMAN	reviewed	60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	RPL27	Homo sapiens (Human)	136
PARP1_HUMAN	P09874	PARP1_HUMAN	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1)	PARP1 ADPRT PPOL	Homo sapiens (Human)	1014
SPS2L_HUMAN	Q9NUQ6	SPS2L_HUMAN	reviewed	SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP)	SPATS2L DNAPTP6 SP1224	Homo sapiens (Human)	558
YLPM1_HUMAN	P49750	YLPM1_HUMAN	reviewed	YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113)	YLPM1 C14orf170 ZAP3	Homo sapiens (Human)	2146
GRP75_HUMAN	P38646	GRP75_HUMAN	reviewed	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	HSPA9 GRP75 HSPA9B mt-HSP70	Homo sapiens (Human)	679
NAT10_HUMAN	Q9H0A0	NAT10_HUMAN	reviewed	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10)	NAT10 ALP KIAA1709	Homo sapiens (Human)	1025
NOLC1_HUMAN	Q14978	NOLC1_HUMAN	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	NOLC1 KIAA0035 NS5ATP13	Homo sapiens (Human)	699
SYEP_HUMAN	P07814	SYEP_HUMAN	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	EPRS GLNS PARS QARS QPRS PIG32	Homo sapiens (Human)	1512
K2C7_HUMAN	P08729	K2C7_HUMAN	reviewed	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)	KRT7 SCL	Homo sapiens (Human)	469
DHX57_HUMAN	Q6P158	DHX57_HUMAN	reviewed	Putative ATP-dependent RNA helicase DHX57 (EC 3.6.4.13) (DEAH box protein 57)	DHX57	Homo sapiens (Human)	1386
RL35_HUMAN	P42766	RL35_HUMAN	reviewed	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	RPL35	Homo sapiens (Human)	123
RS30_HUMAN	P62861	RS30_HUMAN	reviewed	40S ribosomal protein S30 (Small ribosomal subunit protein eS30)	FAU	Homo sapiens (Human)	59
H11_HUMAN	Q02539	H11_HUMAN	reviewed	Histone H1.1 (Histone H1a)	HIST1H1A H1F1	Homo sapiens (Human)	215
RS10_HUMAN	P46783	RS10_HUMAN	reviewed	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	RPS10	Homo sapiens (Human)	165
PGK1_HUMAN	P00558	PGK1_HUMAN	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1 PGKA MIG10 OK/SW-cl.110	Homo sapiens (Human)	417
NOL6_HUMAN	Q9H6R4	NOL6_HUMAN	reviewed	Nucleolar protein 6 (Nucleolar RNA-associated protein) (Nrap)	NOL6	Homo sapiens (Human)	1146
API5_HUMAN	Q9BZZ5	API5_HUMAN	reviewed	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	API5 MIG8	Homo sapiens (Human)	524
ATPA_HUMAN	P25705	ATPA_HUMAN	reviewed	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	Homo sapiens (Human)	553
LARP7_HUMAN	Q4G0J3	LARP7_HUMAN	reviewed	La-related protein 7 (La ribonucleoprotein domain family member 7) (P-TEFb-interaction protein for 7SK stability) (PIP7S)	LARP7 HDCMA18P	Homo sapiens (Human)	582
NOM1_HUMAN	Q5C9Z4	NOM1_HUMAN	reviewed	Nucleolar MIF4G domain-containing protein 1 (SGD1 homolog)	NOM1 C7orf3	Homo sapiens (Human)	860
WDR46_HUMAN	O15213	WDR46_HUMAN	reviewed	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	WDR46 BING4 C6orf11 FP221	Homo sapiens (Human)	610
KHDR1_HUMAN	Q07666	KHDR1_HUMAN	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDRBS1 SAM68	Homo sapiens (Human)	443
RSSA_HUMAN	P08865	RSSA_HUMAN	reviewed	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA LAMBR LAMR1	Homo sapiens (Human)	295
RBM3_HUMAN	P98179	RBM3_HUMAN	reviewed	RNA-binding protein 3 (RNA-binding motif protein 3) (RNPL)	RBM3 RNPL	Homo sapiens (Human)	157
PININ_HUMAN	Q9H307	PININ_HUMAN	reviewed	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)	PNN DRS MEMA	Homo sapiens (Human)	717
MAP4_HUMAN	P27816	MAP4_HUMAN	reviewed	Microtubule-associated protein 4 (MAP-4)	MAP4	Homo sapiens (Human)	1152
DDX52_HUMAN	Q9Y2R4	DDX52_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX52 (EC 3.6.4.13) (ATP-dependent RNA helicase ROK1-like) (DEAD box protein 52)	DDX52 ROK1 HUSSY-19	Homo sapiens (Human)	599
DDX10_HUMAN	Q13206	DDX10_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10)	DDX10	Homo sapiens (Human)	875
SF3B2_HUMAN	Q13435	SF3B2_HUMAN	reviewed	Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145)	SF3B2 SAP145	Homo sapiens (Human)	895
DHX37_HUMAN	Q8IY37	DHX37_HUMAN	reviewed	Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37)	DHX37 DDX37 KIAA1517	Homo sapiens (Human)	1157
RRP8_HUMAN	O43159	RRP8_HUMAN	reviewed	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	RRP8 KIAA0409 NML hucep-1	Homo sapiens (Human)	456
ANXA1_HUMAN	P04083	ANXA1_HUMAN	reviewed	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	ANXA1 ANX1 LPC1	Homo sapiens (Human)	346
LS14A_HUMAN	Q8ND56	LS14A_HUMAN	reviewed	Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A)	LSM14A C19orf13 FAM61A RAP55 RAP55A	Homo sapiens (Human)	463
DESP_HUMAN	P15924	DESP_HUMAN	reviewed	Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)	DSP	Homo sapiens (Human)	2871
ATPB_HUMAN	P06576	ATPB_HUMAN	reviewed	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14) (ATP synthase F1 subunit beta)	ATP5F1B ATP5B ATPMB ATPSB	Homo sapiens (Human)	529
ZC3HE_HUMAN	Q6PJT7	ZC3HE_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37)	ZC3H14	Homo sapiens (Human)	736
IF4G2_HUMAN	P78344	IF4G2_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Death-associated protein 5) (DAP-5) (p97)	EIF4G2 DAP5 OK/SW-cl.75	Homo sapiens (Human)	907
RL36_HUMAN	Q9Y3U8	RL36_HUMAN	reviewed	60S ribosomal protein L36 (Large ribosomal subunit protein eL36)	RPL36	Homo sapiens (Human)	105
RL24_HUMAN	P83731	RL24_HUMAN	reviewed	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	RPL24	Homo sapiens (Human)	157
YTHD2_HUMAN	Q9Y5A9	YTHD2_HUMAN	reviewed	YTH domain-containing family protein 2 (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	YTHDF2 HGRG8	Homo sapiens (Human)	579
TRI25_HUMAN	Q14258	TRI25_HUMAN	reviewed	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	TRIM25 EFP RNF147 ZNF147	Homo sapiens (Human)	630
H2AY_HUMAN	O75367	H2AY_HUMAN	reviewed	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	H2AFY MACROH2A1	Homo sapiens (Human)	372
DDX31_HUMAN	Q9H8H2	DDX31_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX31 (EC 3.6.4.13) (DEAD box protein 31) (Helicain)	DDX31	Homo sapiens (Human)	851
LYRIC_HUMAN	Q86UE4	LYRIC_HUMAN	reviewed	Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	MTDH AEG1 LYRIC	Homo sapiens (Human)	582
RL7L_HUMAN	Q6DKI1	RL7L_HUMAN	reviewed	60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1)	RPL7L1	Homo sapiens (Human)	246
DDX6_HUMAN	P26196	DDX6_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)	DDX6 HLR2 RCK	Homo sapiens (Human)	483
Z3H7A_HUMAN	Q8IWR0	Z3H7A_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 7A	ZC3H7A ZC3H7 ZC3HDC7 HSPC055	Homo sapiens (Human)	971
ESF1_HUMAN	Q9H501	ESF1_HUMAN	reviewed	ESF1 homolog (ABT1-associated protein)	ESF1 ABTAP C20orf6 HDCMC28P	Homo sapiens (Human)	851
SF3A3_HUMAN	Q12874	SF3A3_HUMAN	reviewed	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	SF3A3 SAP61	Homo sapiens (Human)	501
RB15B_HUMAN	Q8NDT2	RB15B_HUMAN	reviewed	Putative RNA-binding protein 15B (One-twenty two protein 3) (HsOTT3) (HuOTT3) (RNA-binding motif protein 15B)	RBM15B OTT3	Homo sapiens (Human)	890
RL26_HUMAN	P61254	RL26_HUMAN	reviewed	60S ribosomal protein L26 (Large ribosomal subunit protein uL24)	RPL26	Homo sapiens (Human)	145
DHX8_HUMAN	Q14562	DHX8_HUMAN	reviewed	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8) (RNA helicase HRH1)	DHX8 DDX8	Homo sapiens (Human)	1220
HS71A_HUMAN	P0DMV8	HS71A_HUMAN	reviewed	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	HSPA1A HSP72 HSPA1 HSX70	Homo sapiens (Human)	641
TKT_HUMAN	P29401	TKT_HUMAN	reviewed	Transketolase (TK) (EC 2.2.1.1)	TKT	Homo sapiens (Human)	623
AATF_HUMAN	Q9NY61	AATF_HUMAN	reviewed	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	AATF CHE1 DED HSPC277	Homo sapiens (Human)	560
DCA13_HUMAN	Q9NV06	DCA13_HUMAN	reviewed	DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1)	DCAF13 WDSOF1 HSPC064	Homo sapiens (Human)	445
ZN638_HUMAN	Q14966	ZN638_HUMAN	reviewed	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	ZNF638 NP220 ZFML	Homo sapiens (Human)	1978
UIF_HUMAN	Q96QD9	UIF_HUMAN	reviewed	UAP56-interacting factor (Forty-two-three domain-containing protein 1) (Protein 40-2-3)	FYTTD1 UIF	Homo sapiens (Human)	318
FXR1_HUMAN	P51114	FXR1_HUMAN	reviewed	Fragile X mental retardation syndrome-related protein 1 (hFXR1p)	FXR1	Homo sapiens (Human)	621
OTUD4_HUMAN	Q01804	OTUD4_HUMAN	reviewed	OTU domain-containing protein 4 (EC 3.4.19.12) (HIV-1-induced protein HIN-1)	OTUD4 HIN-1 KIAA1046	Homo sapiens (Human)	1114
DKC1_HUMAN	O60832	DKC1_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	DKC1 NOLA4	Homo sapiens (Human)	514
UBA1_HUMAN	P22314	UBA1_HUMAN	reviewed	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	Homo sapiens (Human)	1058
H1X_HUMAN	Q92522	H1X_HUMAN	reviewed	Histone H1x	H1FX	Homo sapiens (Human)	213
NGDN_HUMAN	Q8NEJ9	NGDN_HUMAN	reviewed	Neuroguidin (Centromere accumulated nuclear protein 1) (CANu1) (EIF4E-binding protein)	NGDN C14orf120	Homo sapiens (Human)	315
CLH1_HUMAN	Q00610	CLH1_HUMAN	reviewed	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	CLTC CLH17 CLTCL2 KIAA0034	Homo sapiens (Human)	1675
SLIRP_HUMAN	Q9GZT3	SLIRP_HUMAN	reviewed	SRA stem-loop-interacting RNA-binding protein, mitochondrial	SLIRP C14orf156 DC23 DC50 PD04872	Homo sapiens (Human)	109
RS9_HUMAN	P46781	RS9_HUMAN	reviewed	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	RPS9	Homo sapiens (Human)	194
DDX46_HUMAN	Q7L014	DDX46_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)	DDX46 KIAA0801	Homo sapiens (Human)	1031
