Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
P42694	reviewed	Probable helicase with zinc finger domain (EC 3.6.4.-) (Down-regulated in human cancers protein)	Homo sapiens (Human)	1942	HELZ	HELZ_HUMAN
P61353	reviewed	60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	Homo sapiens (Human)	136	RPL27	RL27_HUMAN
P09874	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1)	Homo sapiens (Human)	1014	PARP1	PARP1_HUMAN
Q9NUQ6	reviewed	SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP)	Homo sapiens (Human)	558	SPATS2L	SPS2L_HUMAN
P49750	reviewed	YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113)	Homo sapiens (Human)	2146	YLPM1	YLPM1_HUMAN
P38646	reviewed	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	Homo sapiens (Human)	679	HSPA9	GRP75_HUMAN
Q9H0A0	reviewed	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10)	Homo sapiens (Human)	1025	NAT10	NAT10_HUMAN
Q14978	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	Homo sapiens (Human)	699	NOLC1	NOLC1_HUMAN
P07814	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	Homo sapiens (Human)	1512	EPRS	SYEP_HUMAN
P08729	reviewed	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)	Homo sapiens (Human)	469	KRT7	K2C7_HUMAN
Q6P158	reviewed	Putative ATP-dependent RNA helicase DHX57 (EC 3.6.4.13) (DEAH box protein 57)	Homo sapiens (Human)	1386	DHX57	DHX57_HUMAN
P42766	reviewed	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	Homo sapiens (Human)	123	RPL35	RL35_HUMAN
P62861	reviewed	40S ribosomal protein S30 (Small ribosomal subunit protein eS30)	Homo sapiens (Human)	59	FAU	RS30_HUMAN
Q02539	reviewed	Histone H1.1 (Histone H1a)	Homo sapiens (Human)	215	HIST1H1A	H11_HUMAN
P46783	reviewed	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	Homo sapiens (Human)	165	RPS10	RS10_HUMAN
P11021	reviewed	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Homo sapiens (Human)	654	HSPA5	BIP_HUMAN
Q9H6R4	reviewed	Nucleolar protein 6 (Nucleolar RNA-associated protein) (Nrap)	Homo sapiens (Human)	1146	NOL6	NOL6_HUMAN
Q9BZZ5	reviewed	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	Homo sapiens (Human)	524	API5	API5_HUMAN
P25705	reviewed	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Homo sapiens (Human)	553	ATP5F1A	ATPA_HUMAN
Q4G0J3	reviewed	La-related protein 7 (La ribonucleoprotein domain family member 7) (P-TEFb-interaction protein for 7SK stability) (PIP7S)	Homo sapiens (Human)	582	LARP7	LARP7_HUMAN
Q5C9Z4	reviewed	Nucleolar MIF4G domain-containing protein 1 (SGD1 homolog)	Homo sapiens (Human)	860	NOM1	NOM1_HUMAN
O15213	reviewed	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	Homo sapiens (Human)	610	WDR46	WDR46_HUMAN
P08865	reviewed	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	Homo sapiens (Human)	295	RPSA	RSSA_HUMAN
P98179	reviewed	RNA-binding protein 3 (RNA-binding motif protein 3) (RNPL)	Homo sapiens (Human)	157	RBM3	RBM3_HUMAN
Q9H307	reviewed	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)	Homo sapiens (Human)	717	PNN	PININ_HUMAN
P27816	reviewed	Microtubule-associated protein 4 (MAP-4)	Homo sapiens (Human)	1152	MAP4	MAP4_HUMAN
Q9Y2R4	reviewed	Probable ATP-dependent RNA helicase DDX52 (EC 3.6.4.13) (ATP-dependent RNA helicase ROK1-like) (DEAD box protein 52)	Homo sapiens (Human)	599	DDX52	DDX52_HUMAN
Q13206	reviewed	Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10)	Homo sapiens (Human)	875	DDX10	DDX10_HUMAN
Q13435	reviewed	Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145)	Homo sapiens (Human)	895	SF3B2	SF3B2_HUMAN
Q8IY37	reviewed	Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37)	Homo sapiens (Human)	1157	DHX37	DHX37_HUMAN
P04083	reviewed	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	Homo sapiens (Human)	346	ANXA1	ANXA1_HUMAN
Q8ND56	reviewed	Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A)	Homo sapiens (Human)	463	LSM14A	LS14A_HUMAN
Q6PJT7	reviewed	Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37)	Homo sapiens (Human)	736	ZC3H14	ZC3HE_HUMAN
P78344	reviewed	Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Death-associated protein 5) (DAP-5) (p97)	Homo sapiens (Human)	907	EIF4G2	IF4G2_HUMAN
P83731	reviewed	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	Homo sapiens (Human)	157	RPL24	RL24_HUMAN
Q9Y5A9	reviewed	YTH domain-containing family protein 2 (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	Homo sapiens (Human)	579	YTHDF2	YTHD2_HUMAN
Q9NZM5	reviewed	Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)	Homo sapiens (Human)	478	NOP53	NOP53_HUMAN
Q14258	reviewed	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	Homo sapiens (Human)	630	TRIM25	TRI25_HUMAN
O75367	reviewed	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	Homo sapiens (Human)	372	H2AFY	H2AY_HUMAN
Q9H8H2	reviewed	Probable ATP-dependent RNA helicase DDX31 (EC 3.6.4.13) (DEAD box protein 31) (Helicain)	Homo sapiens (Human)	851	DDX31	DDX31_HUMAN
Q86UE4	reviewed	Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	Homo sapiens (Human)	582	MTDH	LYRIC_HUMAN
Q6DKI1	reviewed	60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1)	Homo sapiens (Human)	246	RPL7L1	RL7L_HUMAN
P26196	reviewed	Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)	Homo sapiens (Human)	483	DDX6	DDX6_HUMAN
Q8IWR0	reviewed	Zinc finger CCCH domain-containing protein 7A	Homo sapiens (Human)	971	ZC3H7A	Z3H7A_HUMAN
Q9H501	reviewed	ESF1 homolog (ABT1-associated protein)	Homo sapiens (Human)	851	ESF1	ESF1_HUMAN
Q12874	reviewed	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	Homo sapiens (Human)	501	SF3A3	SF3A3_HUMAN
P61254	reviewed	60S ribosomal protein L26 (Large ribosomal subunit protein uL24)	Homo sapiens (Human)	145	RPL26	RL26_HUMAN
Q14562	reviewed	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8) (RNA helicase HRH1)	Homo sapiens (Human)	1220	DHX8	DHX8_HUMAN
P0DMV8	reviewed	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	Homo sapiens (Human)	641	HSPA1A	HS71A_HUMAN
Q9NY61	reviewed	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	Homo sapiens (Human)	560	AATF	AATF_HUMAN
Q14966	reviewed	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	Homo sapiens (Human)	1978	ZNF638	ZN638_HUMAN
P51114	reviewed	Fragile X mental retardation syndrome-related protein 1 (hFXR1p)	Homo sapiens (Human)	621	FXR1	FXR1_HUMAN
Q01804	reviewed	OTU domain-containing protein 4 (EC 3.4.19.12) (HIV-1-induced protein HIN-1)	Homo sapiens (Human)	1114	OTUD4	OTUD4_HUMAN
P22314	reviewed	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	Homo sapiens (Human)	1058	UBA1	UBA1_HUMAN
Q92522	reviewed	Histone H1x	Homo sapiens (Human)	213	H1FX	H1X_HUMAN
Q8NEJ9	reviewed	Neuroguidin (Centromere accumulated nuclear protein 1) (CANu1) (EIF4E-binding protein)	Homo sapiens (Human)	315	NGDN	NGDN_HUMAN
Q9GZT3	reviewed	SRA stem-loop-interacting RNA-binding protein, mitochondrial	Homo sapiens (Human)	109	SLIRP	SLIRP_HUMAN
Q7L014	reviewed	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)	Homo sapiens (Human)	1031	DDX46	DDX46_HUMAN
P62841	reviewed	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	Homo sapiens (Human)	145	RPS15	RS15_HUMAN
P62829	reviewed	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	Homo sapiens (Human)	140	RPL23	RL23_HUMAN
Q9H6T0	reviewed	Epithelial splicing regulatory protein 2 (RNA-binding motif protein 35B) (RNA-binding protein 35B)	Homo sapiens (Human)	727	ESRP2	ESRP2_HUMAN
P62269	reviewed	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	Homo sapiens (Human)	152	RPS18	RS18_HUMAN
Q8NCA5	reviewed	Protein FAM98A	Homo sapiens (Human)	519	FAM98A	FA98A_HUMAN
Q9BQ39	reviewed	ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2)	Homo sapiens (Human)	737	DDX50	DDX50_HUMAN
P38919	reviewed	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	Homo sapiens (Human)	411	EIF4A3	IF4A3_HUMAN
